title,date,desc,source
"Imbas Banjir di Semarang, KA Tujuan Jakarta Antre Hingga 30 Menit, Beberapa KA Memutar ke Solo","Sabtu, 31 Des 2022 23:39 WIB",imbas banjir menggenangi wilayah kota semarang jawa stasiun kereta api tawang perjalanan kereta api lintas utara mengalami gangguan antrean kereta api tujuan jakarta terhindarkan pantauan tribun sembrani tujuan surabaya pasar turi gambir tertahan stasiun karangjati 20 menit petugas pengeras suara mengumumkan kereta tertahan menunggu giliran stasiun semarang tawang maaf kereta tertahan stasiun karangjati menunggu antrean stasiun semarang tawang genangan air petugas pengeras suara sabtu 31 12 2022 tribun mewawancarai salah petugas kai sembrani menunggu harina depannya stasiun semarang tawang depannya harina semarang petugas enggan namanya petugas menyebut kereta api arah jakarta surabaya pasar turi melintasi jalur utara via semarang memutar solo anggrek mutar solo sembrani papasan kertajaya reguler tribun memantau stasiun ngrombo penumpang tujuan surabaya pasar turi terangkut stasiun karangjati penumpang sembrani memilih sekedar mengisap rokok waktu antrean willy widianto,www.tribunnews.com
"5 Titik Banjir di Tangerang Selatan Pagi Ini, Puri Bintaro Indah hingga Kampung Bulak","Jumat, 02 Des 2022 09:04 WIB",banjir menggenangi daerah kota tangerang selatan provinsi banten jumat 2 12 2022 pagi kepala bidang kabid kedaruratan logistik bpbd tangerang selatan faridzal gumay 10 kawasan tergenang banjir kemarin pagi 10 kawasan surut malam kawasan jurangmangu permai pondok safari perumahan lebak pinus kampung gunung tol kunciran bintaro surut pagi daftar titik banjir wilayah kota tangerang selatan pagi banjir menggenangi perumahan warga puri bintaro indah rw 22 kelurahan jombang kecamatan ciputat kawasan tergenangi air ketinggian 90 sentimeter 23 00 wib genangan air puri bintaro indah perlahan berangsur surut 20 sentimeter 260 kepala keluarga terdampak banjir daerah terendam banjir kisaran 80 sentimeter pagi kampung batas indah gang aren 03 04 rw 01 kelurahan pondok betung kecamatan pondok aren 400 kepala keluarga 20 mengungsi kemarin bpbd kota tangerang selatan melaporkan ketinggian genangan air kawasan berangsur surut pagi perumahan pondok maharta kelurahan pondok kacang timur kecamatan pondok aren 400 kepala keluarga terdampak banjir ketinggian air berkisar 50 70 sentimeter berangsur surut perlahan kawasan banjir pagi villa bintaro regency rw 12 kelurahan pobdok kacang timur kecamatan pondok aren ketinggian genangan air berkisar 35 60 sentimeter berdampak 300 kepala keluarga 12 mengungsi berbeda kawasan berangsur surut air kavling kampung bulak 04 rw 02 kelurahan pondok kacang timur kecamatan pondok aren terkini peningkatan debit air 60 sentimeter kemarin ketinggian air banjir 35 sentimeter,www.kompas.com
"Si Jago Merah Menyala di Balikpapan, Dua Rumah Hangus Terbakar","Senin, 28 Nov 2022 13:41 WIB",api mendadak muncul salah rumah warga 04 kelurahan karang jati balikpapan kota balikpapan kalimantan timur senin 28 11 2022 sekira 09 20 wita warga panik bergegas menyelamatkan barang berharganya api cepat membesar warga berteriak tolong bagaiman lokasi kebakaran kawasan padat penduduk api muncul rumah asap tebal sekalinya kebakaran arbayah salah warga lokasi kejadian sekolah dasar peristiwa kebakaran murid panik lantaran khawatir rumahnya terbakar rumahnya anak nangis pas sekolah kabar rumahnya terbakar kebakaran lari cari mamanya siti petugas pemadam kebakaran lokasi kejadian menit informasi diterima 8 unit diturunkan lokasi kejadian lokasi kebakaran perbukitan menyulitkan petugas pas lokasinya coba antisipasi kendalanya lokasinya unit mencapai ketinggian segini unit perlahan backup kepala bpbd kota balikpapan silvia rahmadina lokasi kejadian penyebab kebakaran informasi diterima bpbd diduga akibat aktivitas memasak silvia mengimbau warga mengecek kondisi rumah ditinggalkan kompor kabel listrik tolong mengecek kondisi rumah ditinggalkan pastikan kompornya mati gasnya bocor colokan listrik mengurangi musibah kebakaran ayo antisipasi pungkasnya,www.kompas.com
"Banjir-Tanah Longsor Berulang hingga Menggenangi Jalan Nasional, BPBD Terbitkan Surat Edaran Bersih Drainase di Semua Desa","Rabu, 07 Des 2022 11:50 WIB",badan penanggulangan bencana daerah bpbd kulon progo daerah istimewa yogyakarta menerbitkan surat edaran panewu camat lurah kepala desa menggiatkan normalisasi drainase mengantisipasi potensi banjir meningkatnya curah hujan desa kerap terkena banjir dilaksanakan pembersihan drainase secepatnya bergerak puncak curah hujan desember februari kepala pelaksana harian bpbd kulon progo joko satyo agus nahrowi kantornya selasa 6 12 2022 salah langganan banjir jalan nasional jembatan rel kereta api bandara yogyakarta international airport yia kalurahan kalidengen kapanewon temon banjir berasal luapan sungai muat gorong gorong jalan nasional lubang gorong gorong rawan tersumbat batang pisang pohon sampah joko tempat banjir muncul wilayah akibat luapan sungai wilayah kalurahan hargomulyo kokap luapan sungai kanjangan sungai papah sentolo sen haisero kapanewon panjatan sungai sungai kanjangan genangannya joko pemerintah meninjau lokasi bencana lokasi longsor banjir bersih bersih drainase salah langkah mengantisipasi bencana kerugian timbul banjir merendam 8 kalimenur 5 6 desember 2022 hujan deras debit sungai papah pinggir dusun meningkat dukuh kalimenur eko yulianto banjir senin sore pasalnya curah hujan ketinggian air meningkat warga melaporkan banjir menggenangi pekarangan 8 19 30 wib senin kemarin air cepat merendam 8 air merendam 25 rumah dihuni 28 kepala keluarga air menggenang jalan nasional sukoreno 21 30 wib delapan rumah banjir eko 8 dihuni mayoritas petani pedagang pegawai negeri warga merugi akibat hasil panen terendam banjir salah satunya genangan banjir kalimenur merusak beras gabah jagung penggilingan 8 milik sawijan 61 air penggilingan 19 00 wib ketinggian air 60 beras gabah jagung tumpukan terbawah terendam basah semalaman rusak dipakai air merendam gabah 10 15 karung beras 3 4 karung jagung 20 karung kerugian puluhan juta rupiah hitung kerugiannya sawijan banjir kerugian mencapai rp 200 juta,www.kompas.com
"Banjir Natuna, Pemprov Kepri Bantu Rp 300 Juta dan Logistik","Sabtu, 17 Des 2022 09:15 WIB",banjir bandang melanda kabupatan natuna pulau tambelan kabupaten bintan kepulauan riau akibat curah hujan jumat 16 12 2022 gubernur kepulauan riau kepri ansar ahmad megatakan informasi mengaku menginstruksikan badan penanggulangan bencana daerah bpbd kepri menanggulangi bencana banjir daerah pemprov kepri menyerahkan bantuan dana rp 300 juta bersumber dana bantuan keuangan penanganan dampak bencana alam uang tunai bantuan logistik warga terdampak natuna pulau tabelan ansar telepon sabtu 17 12 2022 ansar mengaku dana diserahkan membeli makanan keperluan mendesak logistik unit rubberboat 40 buah life jaket 200 lembar selimut 200 matras 120 kasur dikirimkan pesawat nam air jumat total bobot mencapi 450 kilogram ansar rencana logistik kirim tambelan ansar mengaku kasur busa 16 unit seprei 16 lembar selimut 48 helai kit kebersihan 16 buah perlengkapan bayi 10 paket family kit paket perlengkapan dapur set warga rumahnya terdampak sabar suport terang ansar kepala bpbd monitor warga terdampak terganggu kesehatan ansar banjir kabupaten natuna kepri mengakibatkan 998 rumah terendam rumah ambruk total kerugian mencapai rp 2 5 miliar rumah terendam banjir tersebar kecamatan bunguran timur bunguran timur laut mayoritas rumah terendam kecamatan bunguran timur total 877 rumah kerugian ditaksir rp 2 miliar sisanya kecamatan bunguran timur laut titik banjir kecamatan bunguran timur kelurahan desa kelurahan ranai darat kampung kelurahan bandarsyah kampung kelurahan ranai enam kampung kelurahan batu hitam kampung desa sungai hulu kampung rumah terdampak banjir 700 rumah keluarahan ranai 70 rumah kelurahan batu hitam 50 rumah kelurahan ranai darat 30 rumah kelurahan bandarsyah 22 rumah desa sungai hulu 1 243 jiwa terdampak kerugian material mencapai rp 2 miliar kecamatan bunguran tmur laut titik banjir desa sebadai hulu korban 34 kepala keluarga kk 120 jiwa desa ceruk 87 kk 258 jiwa terdampak rumah teredam 121 rumah 34 rumah desa sebadai hulu 87 rumah desa ceruk total kerugian material rp 500 juta,www.kompas.com
"Banjir di Jalan Nasional Menuju Bandara YIA, Kendaraan Memadat dan Sempat Tersendat","Senin, 05 Des 2022 22:54 WIB",banjir menggenangi jalan nasional dusun sidatan kaligintung kidul kalurahan kalidengen kapanewon temon kabupaten kulon progo daerah istimewa yogyakarta air meluap jembatan air menggenang jalan raya kendaraan memadat tersendat jalan raya perlintasan bandar udara yogyakarta international airport yia polisi bantu mengatur lintas memadat pengaturan arus lintas jalur utama pemantau luapan air jalur jalan nasional wilayah sidatan plh kasi humas polres kulon progo iptu dwi wijayanto pesan singkat senin 5 12 2022 hujan deras mengguyur wilayah kulon progo 13 00 wib mengakibatkan sungai arah kaligintung debitnya air meluap jembatan jembatan kereta api bandara yia air menggenang jembatan rel kereta bandara 17 00 wib luapan air aman dilewati kendaraan roda roda luapan air lantaran gorong gorong tersumbat sampah dibawa air hulu debit air gorong gorong menampung arus air meluap jalan nasional menghubungkan wates purworejo warga polisi lantas membersihkan sampah terbawa arus air beruntung banjir menyebabkan arus lintas macet genangan air cepat surut pemantauan volume air titik wilayah temon aman kondusif jalan tergenang air kendaraan dwi masyarakat membuang sampah sembarangan hujan turun mengganggu aliran air menyebabkan air meluap jalan dwi lurah kalidengen sunardi hujan deras mengakibatkan pemukiman tergenang banjir luapan air pemukiman sidatan warga terbiasa kondisi pemukiman aman lantaran warga membangun tanggul mengantisipasi luapan sungai waktu warga membangun tanggul antisipasi luapan air air utara jalan sunardi ujung telepon,www.kompas.com
Banjir Rob dengan Ketinggian hingga 1 Meter Rendam Indramayu,"Selasa, 20 Des 2022 11:46 WIB",banjir rob menimpa desa eretan wetan kecamatan kandang haur kabupaten indramayu jawa barat selasa pagi 12 20 2022 banjir ketinggian 20 100 sentimeter merendam areal desa korban terdampak 3 000 kepala keluarga lembaga pemberdayaan masyarakat lpm desa eretan wetan jupriyanto banjir rob intensitas selasa pagi 04 00 wib banjir aliran sungai bermuara laut bibir pantai pemukiman warga banjir rob gede jam 04 00 wib pagi wilayah eretan wetan terendam 3 000 kk terdampak banjir rob pagi jupriyanto kompas com dihubungi sambungan telpon selasa 12 20 2022 siang ketinggian banjir rob jupri mencapai tertinggi 100 sentimeter meter terendah 20 sentimeter wilayah tertinggi blok condong berdekatan sungai cilalanang wilayah terendam banjir rob ketinggian 20 sentimeter balai desa blok prempu 1 jupri menerangkan banjir rob titik menurutnya banjir rob pakai musim rob terang rob hari hari menurutnya rob wilayahnya terhitung arjuna rinaldi salah guru sdn eretan wetan 1 banjir rob berdampak mengganggu aktivitas kegiatan belajar mengajar sekolah terpaksa siswa belajar rumah pembelajaran sekolah dampaknya luas sekolah hari belajar aktif belajar terganggu rob keselamatan anak anak liburkan rumah arjuna rinaldi sdn eretan wetan 1 aktivitas belajar rumah pilihan bergantung kondisi banjir rob surut bangunan sekolah banjir rob merendam rumah rumah siswa,www.kompas.com
"Gempa Magnitudo 6,1 Garut, 2 Rumah Warga di Cianjur Dilaporkan Rusak","Sabtu, 03 Des 2022 21:32 WIB",gempa bumi magnitudo 6 4 dimutakhirkan magnitudo 6 1 kabupaten garut jawa barat sabtu 3 12 2022 sore berdampak kerusakan bangunan wilayah kabupaten cianjur informasi badan penanggulangan bencana daerah bpbd cianjur rumah warga wilayah kecamatan kadupandak dilaporkan rusak diasesmen kerusakannya akibat gempa rumahnya layak sekretaris bpbd cianjur rudi wibowo dihubungi kompas com sabtu 3 12 2022 malam wilayah kadupandak bpbd cianjur laporan kerusakan materil wilayah kecamatan cidaun cidaun pusat gempanya posisi menunggu informasi pengecekan pusdalops lapangan rudi korban luka meninggal dunia nihil gempa bumi magnitudo 6 1 kabupaten garut jawa barat sabtu 3 12 2022 sore wilayah cianjur stasiun geofisika bandung kordinator bmkg provinsi jawa barat rahayu pusat gempa pesisir pantai kedalaman 109 kilometer 17 20 wib hasil monitoring bmkg aktivitas gempa bumi susulan,www.kompas.com
"Gempa Magnitudo 6,2 Guncang Jember, Tak Berpotensi Tsunami","Selasa, 06 Des 2022 13:56 WIB",gempa kekuatan magnitudo 6 2 mengguncang kabupaten jember jawa timur selasa 6 12 2022 gempa berpusat 284 kilometer arah barat daya jember jawa timur laporan dampak sekretaris bpbd jember heru widagdo kompas com dihubungi selasa gempa waktu singkat jember heru berkoordinasi personel bpbd jember memantau dampak gempa laporan gempa berpotensi tsunami heru warga panik salah warga jember miftahul arifin merasakan gempa gempa kerasa sebentar gempa magnitudo 6 2 mengguncang kabupaten jember selasa 13 07 wib pusat gempa terletak 10 7 lintang selatan 113 41 bujur timur 284 kilometer arah barat daya jember gempa kedalaman 10 kilometer berpotensi tsunami,www.kompas.com
"Kisah Erika Widianti, Perempuan SAR Tangguh yang Bekerja untuk Kemanusiaan","Kamis, 08 Des 2022 15:36 WIB",hidup mengabdi relawan kegiatan kemanusiaan jarang perempuan dirasakan erika widianti 23 satunya perempuan tim search rescue disaster management center dmc dompet dhuafa posisinya anggota tim membuatnya terbiasa suasana tempat tim dmc dompet dhuafa perempuan satunya tim evakuasi hari bergabung takut evakuasi mendengar innalillahi tidur nyenyak erika keterangan tertulis diterima kompas com kamis 8 12 2022 terjun tim dmc dompet dhuafa erika relawan bergerak bidang kesehatan bertugas mengantarkan pasien pelayanan medis layak pasien tolong terhitung berani tim dmc dompet dhuafa terbiasa mengantarkan pasien mengurusi jenazah erika mengabdi erika mengaku tertarik bergabung kegiatan kemanusiaan membayangkan posisinya korban membutuhkan pertolongan timbul duka dirasakan korban keluarga korban kecelakaan warga menolong situ timbul menolong takut korban susah tidur erika salah kegiatan kemanusiaan lokasi bencana gempa bumi cianjur https asset kompas com crops xjj9x0ayckb2ammt0kvwnt3k 68x0 746x452 750x500 data photo 2022 12 08 639199fe9c026 jpg dok humas dompet dhuafa erika salah kegiatan kemanusiaan lokasi bencana gempa bumi cianjur erika kegiatan kemanusiaan mencari korban korban hilang mengangkat puing puing reruntuhan mengangkat kantong jenazah membekas ingatan evakuasi korban anak anak adik rumah korban anak adik jenazah kehilangan perempuan bandung relawan berkat kesehariannya kegiatan kegiatan kemanusian keluarganya relawan kemanusiaan bergerak bidang kesehatan suaminya tergabung lembaga kemanusiaan indonesia heran istirahatnya erika sambungan telepon keluarganya mengobati kerinduan istirahat kegiatan menyempatkan video call group keluarga kondisi semangat doa imbuhnya kesempatan bertemu suami lokasi pencarian korban bencana erika mengaku bertemu suami salah titik pencarian korban gempa bumi cianjur berbeda lokasi mendoakan jarang bertemu sekalinya bertemu lokasi lapangan tempat mengabdi kegiatan kemanusiaan cerita erika berharap terbaik penyintas bencana mendoakan keluarga ditinggalkan ketabahan korban meninggal dunia ditempatkan tempat terbaik sisi tuhan berharap penyintas bencana anak anak mengalami trauma berkepanjangan bersyukur bantuan sumbangsih penyintas dunia kemanusiaan bermanfaat rekan saudara tanah air tutupnya,www.kompas.com
