,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Title
0,0,2,0.8407,"sambo, saudara, hakim, jaksa, arif, yosua, ferdy_sambo, hendra, pembunuhan, agus, chuck, saksi, cctv, polri, mengaku, yosua_hutabarat, terdakwa, pembunuhan_brigadir","['pembunuhan', 'wanita', 'berinisial', 'mayatnya', 'ditemukan', 'karung', 'gunung', 'putri', 'bogor', 'korban', 'dibunuh', 'pria', 'selingkuhannya', 'diperoleh', 'hukum', 'mengarah', 'diduga', 'kapolres', 'bogor', 'akbp', 'iman', 'imanuddin', 'mapolres', 'bogor', 'jalan', 'tegar', 'beriman', 'cibinong', 'tersangka', 'indramayu', 'jawa', 'tersangka', 'ditahan', 'menjalani', 'pemeriksaan', 'tersangka', 'korban', 'iman', 'korban', 'tersangka', 'memiliki', 'hubungan', 'asmara', 'terlarang', 'tersangka', 'guru', 'ngaji', 'korban', 'kronologi', 'kejadian', 'perbuatan', 'tersangka', 'tersangka', 'korban', 'saudari', 'memiliki', 'hubungan', 'korban', 'selingkuhan', 'tersangka', 'tersangka', 'guru', 'ngaji', 'korban', 'iman', 'motif', 'curi', 'uang', 'korban', 'tersangka', 'berniat', 'kampung', 'halamannya', 'indramayu', 'memiliki', 'uang', 'terlintas', 'pikiran', 'tersangka', 'barang', 'dimiliki', 'korban', 'bebernya', 'korban', 'disetubuhi', 'dibunuh', 'korban', 'kontrakan', 'tersangka', 'berdua', 'korban', 'dibunuh', 'kontrakannya', 'hubungan', 'pencekikan', 'korban', 'korban', 'tersangka', 'membawa', 'korban', 'mencari', 'pembuangan', 'mayat', 'imbuhnya', 'tersangka', 'mengakibatkan', 'korban', 'meninggal', 'akibat', 'perbuatannya', 'tersangka', 'penjara', 'polisi_mengungkap', 'hasil_penyelidikan', 'fakta_fakta', 'tindak_pidana', 'konferensi_pers', 'ditangkap_polisi', 'mengambil_barang', 'korban_diajak', 'berhubungan_badan', 'hubungan_badan', 'dikenakan_pasal', 'pasal_kuhp', 'meninggal_dunia', 'terancam_hukuman', 'hukuman_mati']","['kronologi', 'pria', 'bunuh', 'wanita', 'selingkuhan', 'bogor', 'gegara', 'kuasai', 'harta']"
1,1,2,0.6921,"sambo, saudara, hakim, jaksa, arif, yosua, ferdy_sambo, hendra, pembunuhan, agus, chuck, saksi, cctv, polri, mengaku, yosua_hutabarat, terdakwa, pembunuhan_brigadir","['jurnalis', 'meninggal', 'meliput', 'perempatfinal', 'keluarganya', 'diusut', 'meninggal', 'meliput', 'pertandingan', 'belanda', 'argentina', 'lusail', 'iconic', 'stadium', 'lusail', 'qatar', 'kolaps', 'mengembuskan', 'nafas', 'terakhirnya', 'usia', 'mantan', 'jurnalis', 'sports', 'illustrated', 'fox', 'sports', 'diyakini', 'meninggal', 'keletihan', 'jurnalis', 'terkenal', 'meliput', 'pertandingan', 'mengeluh', 'laga', 'belanda', 'argentina', 'saudaranya', 'eric', 'meninggal', 'dibunuh', 'vokal', 'mengkritik', 'qatar', 'terkait', 'isu', 'lgbt', 'viral', 'dilarang', 'masuk', 'stadion', 'bergambar', 'pelangi', 'simbol', 'lgbt', 'qatar', 'keras', 'melarang', 'beredarnya', 'simbol', 'dukungan', 'lgbt', 'area', 'eric', 'mengaku', 'ancaman', 'pembunuhan', 'eric', 'dibunuh', 'sakit', 'alasan', 'mengenakan', 'kaos', 'pelangi', 'adik', 'sehat', 'menerima', 'ancaman', 'pembunuhan', 'percaya', 'saudara', 'meninggal', 'dibunuh', 'memohon', 'bantuan', 'eric', 'dilansir', 'berusaha', 'mencari', 'pingsan', 'stadion', 'cpr', 'dibawa', 'uber', 'sakit', 'meninggal', 'istri', 'celine', 'berbicara', 'departemen', 'negeri', 'celine', 'berbicara', 'ron', 'klain', 'pejabat', 'perwakilan', 'gedung', 'putih', 'fifa', 'angkat', 'suara', 'mengomentari', 'meninggalnya', 'laga', 'belanda', 'argentina', 'presiden', 'gianni', 'infantino', 'ucapan', 'berduka', 'langsung', 'percaya', 'kesedihan', 'diberitahu', 'meninggalnya', 'jurnalis', 'olahraga', 'terkenal', 'melaporkan', 'pertandingan', 'perempatfinal', 'fifa', 'qatar', 'infantino', 'pernyataannya', 'grant', 'diakui', 'fifa', 'aips', 'kontribusinya', 'meliput', 'delapan', 'pertandingan', 'fifa', 'kariernya', 'mencakup', 'kehadiran', 'wanita', 'fifa', 'acara', 'olahraga', 'internasional', 'kecintaannya', 'sepakbola', 'liputannya', 'dirindukan', 'mengikuti', 'pertandingan', 'global', 'nama', 'fifa', 'komunitas', 'sepakbola', 'belasungkawa', 'tulus', 'istrinya', 'celine', 'keluarganya', 'sulit', 'pernyataan', 'infantino', 'meninggalnya', 'grant', 'amerika_serikat', 'grant_wahl', 'piala_dunia', 'grant_wahl', 'grant_wahl', 'grant_wahl', 'grant_wahl', 'grant_wahl', 'piala_dunia', 'mengenakan_kaus', 'grant_wahl', 'grant_wahl', 'piala_dunia', 'laki_laki', 'rumah_sakit', 'grant_wahl', 'grant_wahl', 'piala_dunia', 'piala_dunia', 'piala_dunia', 'teman_temannya', 'grant_wahl']","['jurnalis', 'meninggal', 'piala', 'dunia', 'keluarga', 'kematiannya', 'diusut']"
2,2,2,0.6678,"sambo, saudara, hakim, jaksa, arif, yosua, ferdy_sambo, hendra, pembunuhan, agus, chuck, saksi, cctv, polri, mengaku, yosua_hutabarat, terdakwa, pembunuhan_brigadir","['rizal', 'namanya', 'dipakai', 'membuka', 'rekening', 'membeli', 'ricky', 'memiliki', 'rekening', 'bank', 'berbeda', 'rekening', 'milik', 'brebes', 'buka', 'rekening', 'bni', 'mulia', 'nama', 'keperluan', 'anaknya', 'suka', 'main', 'game', 'situ', 'keperluan', 'ricky', 'jaksel', 'dilansir', 'pakai', 'rekening', 'nama', 'pakai', 'nama', 'saudara', 'ricky', 'nama', 'ricky', 'dipakai', 'membeli', 'motor', 'honda', 'beat', 'brebes', 'menurutnya', 'pembelian', 'motor', 'mengharuskan', 'ktp', 'brebes', 'membuka', 'rekening', 'ricky', 'namanya', 'dipinjam', 'membeli', 'motor', 'honda', 'beat', 'brebes', 'membeli', 'motor', 'ktp', 'brebes', 'setahu', 'motor', 'beat', 'beliau', 'brebes', 'pakai', 'ktp', 'brebes', 'rekening', 'mulia', 'ricky', 'ricky', 'menyebut', 'memiliki', 'rekening', 'bank', 'berbeda', 'menampung', 'uang', 'total', 'rekening', 'rekening', 'mulia', 'uang', 'milik', 'hakim', 'mulia', 'operasional', 'magelang', 'ricky', 'bni', 'saudara', 'udah', 'uang', 'juta', 'hakim', 'juta', 'mulia', 'ditambah', 'pemindahan', 'juta', 'ricky', 'rekening', 'satunya', 'ricky', 'mengaku', 'saldo', 'juta', 'bca', 'hakim', 'hafal', 'mulia', 'ricky', 'juta', 'cecar', 'hakim', 'ricky', 'ricky', 'saksi', 'sidang', 'eliezer', 'ricky', 'kuat', 'terdakwa', 'kuhp', 'bripka_ricky', 'ferdy_sambo', 'sepeda_motor', 'ferdy_sambo', 'ferdy_sambo', 'ferdy_sambo', 'hakim_mulia', 'uang_juta', 'kuat_ruf', 'eliezer_bersaksi', 'terdakwa_didakwa', 'melanggar_pasal', 'kuhp_subsider', 'pasal_kuhp', 'juncto_pasal']","['ricky', 'namanya', 'dipakai', 'sambo', 'buka', 'rekening', 'beli', 'motor']"
3,3,2,0.963,"sambo, saudara, hakim, jaksa, arif, yosua, ferdy_sambo, hendra, pembunuhan, agus, chuck, saksi, cctv, polri, mengaku, yosua_hutabarat, terdakwa, pembunuhan_brigadir","['mengungkap', 'momen', 'pertemuan', 'pembunuhan', 'bharada', 'tertawa', 'mengaku', 'memakai', 'senjata', 'membunuh', 'pembunuhan', 'jaksel', 'bharada', 'menceritakan', 'yosua', 'dipanggil', 'menghadap', 'kediamannya', 'tertawa', 'senjata', 'mengeksekusi', 'yosua', 'provos', 'kediaman', 'bang', 'beliau', 'berulang', 'ulang', 'kali', 'ketawa', 'pakai', 'senjata', 'richard', 'penyampaian', 'kayaknya', 'ketawa', 'jaksa', 'iya', 'ketawa', 'richard', 'tembakkah', 'timpal', 'jaksa', 'pakai', 'senjata', 'richard', 'sidang', 'saksi', 'biripka', 'rizal', 'eliezer', 'rizal', 'pembunuhan', 'brigadir', 'yosua', 'eliezer', 'yosua', 'perkara', 'didakwa', 'ricky', 'rizal', 'tepis', 'sambo', 'tertawa', 'ricky', 'rizal', 'menepis', 'keterangan', 'richard', 'eliezer', 'ricky', 'memaparkan', 'kesaksian', 'eliezer', 'menyebut', 'dikumpulkan', 'sambo', 'senjata', 'tertawa', 'membunuh', 'yosua', 'ricky', 'sambo', 'beliau', 'tembak', 'senjata', 'ricky', 'sidang', 'jakarta', 'maksudnya', 'hakim', 'saudara', 'penembakan', 'dikumpulkan', 'dipanggil', 'tembak', 'ketawa', 'ketawa', 'beliau', 'senjata', 'nembak', 'mendengar', 'papar', 'ricky', 'bharada_richard', 'alias_bharada', 'bripka_ricky', 'ferdy_sambo', 'pembunuhan_brigadir', 'nopriansyah_yosua', 'hutabarat_brigadir', 'ferdy_sambo', 'saksi_sidang', 'lanjutan_pembunuhan', 'duduk_terdakwa', 'kuat_ruf', 'bripka_ricky', 'penembakan_brigadir', 'bripka_ricky', 'ferdy_sambo', 'berulang_kali', 'ferdy_sambo', 'ruang_sidang', 'richard_eliezer', 'kuat_ruf', 'ricky_rizal', 'kuat_ruf', 'terdakwa_didakwa', 'ferdy_sambo', 'putri_candrawathi', 'kuat_ruf', 'bripka_ricky', 'pembunuhan_berencana', 'brigadir_nopriansyah', 'yosua_hutabarat', 'eliezer_sadar', 'ragu_menembak', 'perkara_terdakwa', 'didakwa_melanggar', 'pasal_kuhp', 'subsider_pasal', 'kuhp_juncto', 'pasal_kuhp', 'ricky_rizal', 'bripka_ricky', 'richard_eliezer', 'sidang_lanjutan', 'pengadilan_negeri']","['tawa', 'sambo', 'diungkap', 'eliezer', 'gegara', 'pakai', 'senjata']"
4,4,2,0.8844,"sambo, saudara, hakim, jaksa, arif, yosua, ferdy_sambo, hendra, pembunuhan, agus, chuck, saksi, cctv, polri, mengaku, yosua_hutabarat, terdakwa, pembunuhan_brigadir","['mantan', 'korspri', 'polri', 'putranto', 'mengaku', 'dibentak', 'membahas', 'duren', 'tkp', 'pembunuhan', 'chuck', 'bicara', 'nada', 'duren', 'rumah', 'tanggal', 'tkp', 'ketemu', 'beliau', 'coba', 'cek', 'masuk', 'saudara', 'diperiksa', 'senpinya', 'chuck', 'jaksel', 'chuck', 'masuk', 'kurniawan', 'bicara', 'chuck', 'menghampiri', 'membahas', 'masuk', 'arah', 'mengarah', 'ruang', 'makan', 'bagus', 'membuktikan', 'peristiwa', 'rusak', 'nggak', 'beliau', 'nada', 'langsung', 'chuck', 'chuck', 'ambil', 'polres', 'jaksel', 'chuck', 'momen', 'kalinya', 'dimarahi', 'chuck', 'menyebut', 'sambo', 'serahkan', 'polres', 'jakarta', 'beliau', 'jenderal', 'cctv', 'rumah', 'serahkan', 'polres', 'jakarta', 'beliau', 'nada', 'beliau', 'perintah', 'diserahkan', 'polres', 'jakarta', 'chuck', 'chuck', 'diperintah', 'sambo', 'mengambil', 'dvr', 'diperintah', 'dvr', 'cctv', 'ambil', 'lihat', 'copy', 'jenderal', 'copy', 'lakukan', 'bertanggung', 'beliau', 'penyidik', 'serahkan', 'chuck', 'sambo', 'duduk', 'sidang', 'richard', 'sambo', 'ruf', 'rizal', 'pembunuhan', 'brigadir', 'yosua', 'kadiv_propam', 'kompol_chuck', 'ferdy_sambo', 'kamera_cctv', 'rumah_dinas', 'pembunuhan_brigadir', 'yosua_hutabarat', 'ferdy_sambo', 'ferdy_sambo', 'bersaksi_sidang', 'brigjen_hendra', 'ferdy_sambo', 'ferdy_sambo', 'dvr_cctv', 'dvr_cctv', 'dvr_cctv', 'dvr_cctv', 'menyalin_rekaman', 'dvr_cctv', 'mohon_izin', 'menirukan_ucapan', 'terdakwa_bharada', 'richard_eliezer', 'bripka_ricky', 'rizal_kuat', 'eliezer_didakwa', 'ferdy_sambo', 'putri_candrawathi', 'kuat_ruf', 'bripka_ricky', 'pembunuhan_berencana', 'brigadir_nopriansyah', 'yosua_hutabarat', 'eliezer_sadar', 'ragu_menembak', 'perkara_terdakwa', 'didakwa_melanggar', 'pasal_kuhp', 'subsider_pasal', 'kuhp_juncto', 'pasal_kuhp']","['ucapan', 'sambo', 'chuck', 'lihat', 'cctv', 'tkp', 'yosua', 'rusak']"
5,5,2,0.8592,"sambo, saudara, hakim, jaksa, arif, yosua, ferdy_sambo, hendra, pembunuhan, agus, chuck, saksi, cctv, polri, mengaku, yosua_hutabarat, terdakwa, pembunuhan_brigadir","['yunantyo', 'adi', 'setiawan', 'prasetijo', 'membocorkan', 'nelayan', 'hilang', 'tubuh', 'ditemukan', 'kawasan', 'pantai', 'marina', 'semarang', 'kemarin', 'nelayan', 'hilang', 'dikonfirmasi', 'informasi', 'dapatkan', 'nelayan', 'hilang', 'diduga', 'kedatangan', 'kawasan', 'pantai', 'marina', 'semarang', 'nyambi', 'parkir', 'paparnya', 'kejadian', 'ditemukan', 'mengalami', 'perubahan', 'pengurukan', 'pohon', 'parkir', 'dijadikan', 'parkir', 'yunantyo', 'menemukan', 'jalan', 'setapak', 'mengarah', 'tubuh', 'ditemukan', 'menduga', 'jalan', 'eksekusi', 'korban', 'korban', 'menyangka', 'ramai', 'korban', 'dibawa', 'semak', 'semak', 'paparnya', 'menduga', 'mendesak', 'boedi', 'semak', 'semak', 'berani', 'berspekulasi', 'mendesak', 'korban', 'mendesak', 'semak', 'semak', 'mendesak', 'yunantyo', 'boedi', 'bersurat', 'lpsk', 'perlindungan', 'asesmen', 'boedi', 'mengajukan', 'perlindungan', 'lpsk', 'prosedur', 'hukum', 'psikologi', 'fisik', 'boedi', 'perlindungan', 'lpsk', 'mengaku', 'lpsk', 'rumah', 'keluarga', 'boedi', 'lpsk', 'menawarkan', 'perlindungan', 'keluarga', 'korban', 'rumah', 'menawarkan', 'paparnya', 'kuasa_hukum', 'keluarga_iwan', 'iwan_boedi', 'iwan_boedi', 'iwan_boedi', 'iwan_boedi', 'iwan_boedi', 'keluarga_iwan', 'keluarga_iwan', 'keluarga_iwan', 'keluarga_iwan']","['pengacara', 'keluarga', 'iwan', 'boedi', 'nelayan', 'hilang', 'terbunuhnya', 'korban']"
6,6,2,0.9901,"sambo, saudara, hakim, jaksa, arif, yosua, ferdy_sambo, hendra, pembunuhan, agus, chuck, saksi, cctv, polri, mengaku, yosua_hutabarat, terdakwa, pembunuhan_brigadir","['sidang', 'pembunuhan', 'santoso', 'geram', 'sambo', 'kuat', 'menyebutnya', 'buta', 'tuli', 'hakim_ketua', 'pembunuhan_brigadir', 'wahyu_iman', 'kuat_ruf', 'menembak_yosua', 'majelis_hakim']","['hakim', 'geram', 'kuat', 'ricky', 'lihat', 'sambo', 'tembak', 'yosua']"
7,7,2,0.6544,"sambo, saudara, hakim, jaksa, arif, yosua, ferdy_sambo, hendra, pembunuhan, agus, chuck, saksi, cctv, polri, mengaku, yosua_hutabarat, terdakwa, pembunuhan_brigadir","['mengakui', 'memerintahkan', 'buahnya', 'mengamankan', 'tkp', 'pembunuhan', 'polri', 'hendra', 'menanggapi', 'kesaksian', 'anggota', 'timsus', 'hidayat', 'jaksel', 'hendra', 'membeberkan', 'dilontarkan', 'pemeriksaan', 'timsus', 'polri', 'timsus', 'bersangkutan', 'jambi', 'perintah', 'hendra', 'menirukan', 'percakapan', 'hendra', 'mengamankan', 'pembunuhan', 'polri', 'duren', 'hendra', 'mengamini', 'menyebut', 'screening', 'cctv', 'perintah', 'mengamankan', 'cctv', 'bentuknya', 'screening', 'screening', 'mendeteksi', 'menyeleksi', 'buku', 'kamus', 'silakan', 'cek', 'dilaporkan', 'dilaporkan', 'hendra', 'menirukan', 'sesi', 'pemeriksaan', 'hendra', 'didakwa', 'rusak', 'cctv', 'agus', 'nurpatria', 'adi', 'purnama', 'hendra', 'didakwa', 'cctv', 'terhalanginya', 'pembunuhan', 'perbuatan', 'agus', 'hendra', 'terdakwa', 'putranto', 'wibowo', 'widyanto', 'didakwa', 'berkas', 'terpisah', 'agus', 'hendra', 'didakwa', 'ite', 'pasal', 'pasal', 'kuhp', 'mantan_karo', 'paminal_propam', 'hendra_kurniawan', 'cctv_kompleks', 'polri_duren', 'pembunuhan_brigadir', 'yosua_hutabarat', 'perintah_mantan', 'kadiv_propam', 'ferdy_sambo', 'agus_sariful', 'agus_sariful', 'agus_sariful', 'pembunuhan_brigadir', 'yosua_hutabarat', 'kompleks_polri', 'agus_nurpatria', 'kombes_agus', 'hendra_kurniawan', 'merusak_cctv', 'penyidikan_pembunuhan', 'yosua_hutabarat', 'kompol_chuck', 'kompol_baiquni', 'akp_irfan', 'akbp_arif', 'rachman_arifin', 'pasal_juncto', 'pasal_juncto', 'undang_undang', 'nomor_perubahan', 'undang_undang', 'nomor_informasi', 'transaksi_elektronik', 'juncto_pasal', 'kuhp_pasal', 'kuhp_pasal', 'juncto_pasal']","['hendra', 'kurniawan', 'akui', 'perintahkan', 'buah', 'amankan', 'cctv', 'kompleks', 'sambo']"
8,8,2,0.9772,"sambo, saudara, hakim, jaksa, arif, yosua, ferdy_sambo, hendra, pembunuhan, agus, chuck, saksi, cctv, polri, mengaku, yosua_hutabarat, terdakwa, pembunuhan_brigadir","['tujuh', 'remaja', 'pemerkosaan', 'berusia', 'kraksan', 'probolinggo', 'ditangkap', 'pemerkosaan', 'korban', 'berstatus', 'siswi', 'sma', 'bergilir', 'ketujuh', 'pelaku', 'mka', 'mys', 'afr', 'pelaku', 'warga', 'gading', 'probolinggo', 'pemerkosaan', 'menyedot', 'perhatian', 'proses', 'penangkapannya', 'terekam', 'kamera', 'beredar', 'rekaman', 'beredar', 'menjemput', 'pelaku', 'langsung', 'rumah', 'pemerkosaan', 'korban', 'pelaku', 'kenal', 'kapolres', 'probolinggo', 'akbp', 'teuku', 'arsya', 'khadafi', 'pemerkosaan', 'pelaku', 'berinisial', 'berkenalan', 'korban', 'seminggu', 'berkenalan', 'sepakat', 'bertemu', 'malam', 'korban', 'hutan', 'malabar', 'nogosaren', 'gading', 'pelaku', 'pesta', 'miras', 'arsya', 'korban', 'hutan', 'pesta', 'miras', 'ketakutan', 'pulang', 'tersangka', 'teman', 'memaksa', 'korban', 'menegak', 'miras', 'korban', 'pelaku', 'mencekoki', 'tersangka', 'mencekoki', 'korban', 'mabuk', 'mabuk', 'korban', 'dibawa', 'sepi', 'korban', 'diperkosa', 'bergantian', 'pelaku', 'perbuatan', 'pelaku', 'diadukan', 'tuanya', 'terima', 'korban', 'dilaporkan', 'polisi', 'mengantongi', 'pelaku', 'dijemput', 'ditangkap', 'rumahnya', 'laporan', 'keluarga', 'korban', 'ditindaklanjuti', 'polisi', 'pelaku', 'rumahnya', 'kecamatana', 'gading', 'penangkapan', 'viral', 'terekam', 'kamera', 'amatir', 'berdurasi', 'keluarga', 'pelaku', 'menangis', 'histeris', 'tersangka', 'dijemput', 'diangkut', 'mobil', 'patroli', 'polisi', 'ketujuh', 'tersangka', 'dihadirkan', 'press', 'release', 'polres', 'probolinggo', 'tersangka', 'tertunduk', 'lesu', 'menyesali', 'perbuatan', 'asusilanya', 'pelaku', 'umur', 'ancaman', 'hukumannya', 'penjara', 'ditetapkan_tersangka', 'media_sosial', 'fakta_fakta', 'media_sosial', 'media_sosial', 'korban_diajak', 'korban_diajak', 'teman_temannya', 'tua_korban', 'barang_bukti', 'polisi_menangkap', 'pelaku_dijerat', 'nomor_perubahan', 'nomor_perlindungan']","['sederet', 'fakta', 'siswi', 'sma', 'probolinggo', 'diperkosa', 'remaja']"
9,9,2,0.7199,"sambo, saudara, hakim, jaksa, arif, yosua, ferdy_sambo, hendra, pembunuhan, agus, chuck, saksi, cctv, polri, mengaku, yosua_hutabarat, terdakwa, pembunuhan_brigadir","['diancam', 'benda', 'senpi', 'perampok', 'menyatroni', 'pribadi', 'walkot', 'pelaku', 'menyebut', 'pelaku', 'disinyalir', 'senpi', 'air', 'soft', 'gun', 'senpi', 'korek', 'api', 'dijual', 'senpi', 'ancaman', 'langsung', 'diikat', 'mata', 'mulut', 'ditutup', 'wartawan', 'ponsel', 'pribadi', 'raib', 'ponsel', 'dibawa', 'pelaku', 'perampokan', 'ponsel', 'disimpan', 'tas', 'milik', 'iya', 'ponselnya', 'diambil', 'tas', 'tasnya', 'diambil', 'argo', 'menyebut', 'ponsel', 'diambil', 'pelaku', 'ponsel', 'milik', 'pribadi', 'santoso', 'pelaku', 'diduga', 'mengambil', 'ponsel', 'bersamaan', 'uang', 'cash', 'ponsel', 'tas', 'arga', 'mengalami', 'ancaman', 'ancaman', 'verbal', 'non', 'verbal', 'pelaku', 'mengancam', 'blitar', 'iya', 'ancaman', 'verbal', 'melukai', 'senjata', 'imbuhnya', 'tim', 'gabungan', 'reksrim', 'tim', 'inafis', 'blitar', 'penyelidikan', 'proses', 'berlanjut', 'dilanjutkan', 'dipimpin', 'langsung', 'dirkrimum', 'kabid', 'labfor', 'sesuai', 'atensi', 'pimpinan', 'kapolda', 'wali_blitar', 'rumah_dinasnya', 'kapolres_blitar', 'akbp_argowiyono', 'petugas_jaga', 'kapolres_blitar', 'akbp_argowiyono', 'wali_blitar', 'dibawa_kabur', 'aksi_perampokan', 'wali_blitar', 'ponsel_milik', 'wali_blitar', 'wali_blitar', 'sang_istri', 'wali_blitar', 'senjata_tajam', 'senjata_tajam', 'polda_jatim', 'rumdin_wali', 'olah_tkp', 'olah_tkp']","['update', 'wali', 'blitar', 'diancam', 'benda', 'senpi', 'dibawa', 'perampok']"
