topik,model,model-acs,cross-val,f1
bencana,Naive Bayes,0.8288288288288288,0.810651828298887,0.779873257291198
bencana,Random Forest,0.9945945945945946,0.9882801353389589,0.9945719204718326
bencana,Logistic Regression,0.9441441441441442,0.9463413639884228,0.9438626022670716
bencana,Decision Tree,0.990990990990991,0.9842240430475725,0.9908702747412423
bencana,SVM,0.8108108108108109,0.7971220088867147,0.7332263853390615
bencana,KNearestNeighbors,0.9657657657657658,0.9522053727936081,0.9659004815353793
bencana,Deep Learning(MLP),0.8432432432432433,0.8336248012718601,0.8062634167415262
ekonomi,Naive Bayes,0.6359300476947536,0.6449234806804528,0.5708050516329116
ekonomi,Random Forest,0.9984101748807631,0.999203187250996,0.9984078951149032
ekonomi,Logistic Regression,0.766295707472178,0.988057294631,0.7585843748366682
ekonomi,Decision Tree,0.9984101748807631,1.0,0.9984078951149032
ekonomi,SVM,0.890302066772655,0.8742047682286727,0.873295320608423
ekonomi,KNearestNeighbors,0.9348171701112877,0.9406832985518244,0.9340013452133274
ekonomi,Deep Learning(MLP),0.9936406995230525,0.9976095617529881,0.9936223478831961
kecelakaan,Naive Bayes,0.4584323040380047,0.5068751761059452,0.2932707337831749
kecelakaan,Random Forest,0.997624703087886,0.9982142857142857,0.997616704479412
kecelakaan,Logistic Regression,0.9881235154394299,0.9869188503803888,0.9882370039177238
kecelakaan,Decision Tree,0.997624703087886,0.9976225697379544,0.997616704479412
kecelakaan,SVM,0.4916864608076009,0.4984995773457312,0.3494184735699824
kecelakaan,KNearestNeighbors,0.995249406175772,0.9892962806424345,0.995249406175772
kecelakaan,Deep Learning(MLP),0.4916864608076009,0.4943258664412511,0.38581355027254294
kesehatan,Naive Bayes,0.04573170731707317,0.12036693465264894,0.02596727825386362
kesehatan,Random Forest,0.9969512195121951,0.9948979591836734,0.9968735333386196
kesehatan,Logistic Regression,0.9817073170731707,0.9959183673469388,0.9783783391405343
kesehatan,Decision Tree,1.0,0.9959183673469388,1.0
kesehatan,SVM,0.9115853658536586,0.8970521541950113,0.8694227253277318
kesehatan,KNearestNeighbors,0.9969512195121951,0.9918367346938777,0.9968735333386196
kesehatan,Deep Learning(MLP),0.9573170731707317,0.9286641929499074,0.9418440140283755
kriminalitas,Naive Bayes,0.1875,0.18961474036850923,0.07940397068549045
kriminalitas,Random Forest,0.9979838709677419,0.9939470077661033,0.9979907557888914
kriminalitas,Logistic Regression,0.8971774193548387,0.8749428962996803,0.8864668630975379
kriminalitas,Decision Tree,0.9959677419354839,0.9949571087762044,0.9959949997568641
kriminalitas,SVM,0.7137096774193549,0.7140728897010304,0.608657275679956
kriminalitas,KNearestNeighbors,0.9637096774193549,0.9536064159179739,0.9632579084734626
kriminalitas,Deep Learning(MLP),0.7237903225806451,0.722640982691234,0.6397780314453619
olahraga,Naive Bayes,0.975609756097561,0.9889639639639638,0.9788617886178862
olahraga,Random Forest,1.0,0.9944444444444442,1.0
olahraga,Logistic Regression,0.975609756097561,0.9726726726726727,0.9636022514071295
olahraga,Decision Tree,1.0,0.9972222222222221,1.0
olahraga,SVM,1.0,0.9917417417417417,1.0
olahraga,KNearestNeighbors,1.0,0.9972222222222221,1.0
olahraga,Deep Learning(MLP),1.0,0.9944444444444442,1.0
