topik,model,model-acs,cross-val,f1
bencana,Naive Bayes,0.8288288288288288,0.810651828298887,0.779873257291198
bencana,Random Forest,0.9945945945945946,0.9900880518527577,0.9945719204718326
bencana,Logistic Regression,0.9441441441441442,0.9463413639884228,0.9438626022670716
bencana,Decision Tree,0.990990990990991,0.9851249439484734,0.9909532007863878
bencana,SVM,0.8108108108108109,0.7971220088867147,0.7332263853390615
bencana,KNearestNeighbors,0.9657657657657658,0.9522053727936081,0.9659004815353793
bencana,Deep Learning(MLP),0.9315315315315316,0.8467123231829113,0.9267452067452068
ekonomi,Naive Bayes,0.6375198728139905,0.6417472965281731,0.5823819377169391
ekonomi,Random Forest,0.9968203497615262,0.999203187250996,0.9968097677932599
ekonomi,Logistic Regression,0.7074721780604134,0.984474799215835,0.7069335604057588
ekonomi,Decision Tree,0.9968203497615262,1.0,0.9968097677932599
ekonomi,SVM,0.834658187599364,0.8184753051286915,0.8063456008489759
ekonomi,KNearestNeighbors,0.9284578696343402,0.9370976411813065,0.9273728469813155
ekonomi,Deep Learning(MLP),0.9936406995230525,0.9940239043824702,0.9936189018611492
kecelakaan,Naive Bayes,0.4584323040380047,0.5068751761059452,0.2932707337831749
kecelakaan,Random Forest,0.997624703087886,0.9982142857142857,0.997616704479412
kecelakaan,Logistic Regression,0.9881235154394299,0.9869188503803888,0.9882370039177238
kecelakaan,Decision Tree,0.997624703087886,0.9976225697379544,0.997616704479412
kecelakaan,SVM,0.4916864608076009,0.4984995773457312,0.3494184735699824
kecelakaan,KNearestNeighbors,0.995249406175772,0.9892962806424345,0.995249406175772
kecelakaan,Deep Learning(MLP),0.49406175771971494,0.49611158072696543,0.38711296699710834
kesehatan,Naive Bayes,0.04961832061068702,0.12093406593406593,0.03133699082136357
kesehatan,Random Forest,1.0,0.9952197802197802,1.0
kesehatan,Logistic Regression,0.9847328244274809,0.9952289377289377,0.9826565175058547
kesehatan,Decision Tree,1.0,0.9971428571428571,1.0
kesehatan,SVM,0.9045801526717557,0.8997252747252746,0.859260505744313
kesehatan,KNearestNeighbors,0.9961832061068703,0.9952197802197802,0.996059997321548
kesehatan,Deep Learning(MLP),0.9541984732824428,0.9369413919413919,0.9384789369522194
kriminalitas,Naive Bayes,0.008064516129032258,0.019671590274605348,0.00978207144281703
kriminalitas,Random Forest,1.0,0.9989949748743718,1.0
kriminalitas,Logistic Regression,0.9495967741935484,0.9576493579006142,0.9549007689292668
kriminalitas,Decision Tree,1.0,0.9989949748743718,1.0
kriminalitas,SVM,0.8225806451612904,0.8275341353230801,0.7425064230659435
kriminalitas,KNearestNeighbors,0.9899193548387096,0.98789147758997,0.9909037540223915
kriminalitas,Deep Learning(MLP),0.8205645161290323,0.8275341353230801,0.7487723034944547
olahraga,Naive Bayes,0.9795918367346939,0.9847435897435897,0.9841836734693877
olahraga,Random Forest,1.0,0.9974358974358974,1.0
olahraga,Logistic Regression,1.0,0.9873076923076922,1.0
olahraga,Decision Tree,1.0,0.9974358974358974,1.0
olahraga,SVM,1.0,0.9923076923076923,1.0
olahraga,KNearestNeighbors,1.0,0.9974358974358974,1.0
olahraga,Deep Learning(MLP),1.0,0.9948717948717949,1.0
