Topics,Alpha,Beta,Coherence,Perplexity
2,0.01,0.01,0.3840976493328797,-6.67609347294149
2,0.01,0.1,0.3840976493328797,-6.64781876944139
2,0.01,1,0.3944387342483726,-6.633985804154702
2,0.01,symmetric,0.38409764933287965,-6.635240099493005
2,0.1,0.01,0.3840976493328797,-6.666667127541511
2,0.1,0.1,0.3840976493328797,-6.638697803710781
2,0.1,1,0.3818298437962123,-6.62705221480708
2,0.1,symmetric,0.38409764933287965,-6.627347305411616
2,1,0.01,0.38380837105453725,-6.670597715423689
2,1,0.1,0.3838083710545372,-6.644078451108607
2,1,1,0.38380837105453725,-6.635854239018953
2,1,symmetric,0.38380837105453725,-6.6349525435727905
2,symmetric,0.01,0.37621019056922544,-6.667131624639059
2,symmetric,0.1,0.3944387342483727,-6.6401272602118535
2,symmetric,1,0.3944387342483727,-6.630707234601531
2,symmetric,symmetric,0.3944387342483727,-6.630316179972316
3,0.01,0.01,0.41015538375451,-6.584693111364506
3,0.01,0.1,0.41015538375451,-6.548110974443475
3,0.01,1,0.41290226553560655,-6.535627468297703
3,0.01,symmetric,0.41015538375451,-6.5359255318331275
3,0.1,0.01,0.41015538375451,-6.568633851848243
3,0.1,0.1,0.41015538375451,-6.532827277026604
3,0.1,1,0.41290226553560655,-6.525093582322651
3,0.1,symmetric,0.41015538375451,-6.522686986974087
3,1,0.01,0.4175254920022989,-6.578882370532399
3,1,0.1,0.41430728402133826,-6.5470409381939865
3,1,1,0.4164269421640739,-6.547527284056319
3,1,symmetric,0.41430728402133826,-6.540702511239228
3,symmetric,0.01,0.40965582291429997,-6.569709703615064
3,symmetric,0.1,0.40965582291429997,-6.535538774325316
3,symmetric,1,0.4096558229143001,-6.532009160061159
3,symmetric,symmetric,0.40965582291429997,-6.527271796555187
4,0.01,0.01,0.4802519211985832,-6.5052730244144605
4,0.01,0.1,0.4802519211985832,-6.4641939048194255
4,0.01,1,0.4795985085822776,-6.455480403216575
4,0.01,symmetric,0.4802519211985832,-6.455000953706951
4,0.1,0.01,0.47824611653440574,-6.485675584514044
4,0.1,0.1,0.4802519211985832,-6.446304316283635
4,0.1,1,0.4795985085822776,-6.444504097830284
4,0.1,symmetric,0.4802519211985832,-6.438793547034447
4,1,0.01,0.48249417592997046,-6.510986402733956
4,1,0.1,0.48249417592997046,-6.477395642105962
4,1,1,0.4805407963808298,-6.490001806896977
4,1,symmetric,0.48249417592997046,-6.473921018388211
4,symmetric,0.01,0.47824611653440574,-6.4874315133209155
4,symmetric,0.1,0.47824611653440574,-6.449570835564962
4,symmetric,1,0.4892730728303821,-6.453607694124215
4,symmetric,symmetric,0.47824611653440574,-6.443556173970187
5,0.01,0.01,0.4962329864782632,-6.4887121283614455
5,0.01,0.1,0.485625406200191,-6.442341323602072
5,0.01,1,0.4972883551002826,-6.428791094972443
5,0.01,symmetric,0.4906614043947539,-6.433518953653347
5,0.1,0.01,0.4962134489205369,-6.466523256109044
5,0.1,0.1,0.49547046247933874,-6.4221368358514574
5,0.1,1,0.48617424222230576,-6.419463765143417
5,0.1,symmetric,0.5013713206707777,-6.415233910595617
5,1,0.01,0.4913932775571658,-6.494143267130024
5,1,0.1,0.4910444653875091,-6.456492158046346
5,1,1,0.48774865500123965,-6.474528403576739
5,1,symmetric,0.4910444653875091,-6.45334241970266
5,symmetric,0.01,0.4565726042336539,-6.476322865302619
5,symmetric,0.1,0.46114448771250444,-6.4307348850451325
5,symmetric,1,0.4697946067107224,-6.425623833255411
5,symmetric,symmetric,0.4670318479560036,-6.4224592696847385
6,0.01,0.01,0.48128570017910266,-6.484097295632328
6,0.01,0.1,0.48236006853503705,-6.432807221193869
6,0.01,1,0.4814887383936026,-6.409908846146957
6,0.01,symmetric,0.48132233261861423,-6.425873342121521
6,0.1,0.01,0.49814450075849415,-6.446083370242187
6,0.1,0.1,0.5017368368327579,-6.396330233772601
6,0.1,1,0.5231136865865683,-6.3637980239901015
6,0.1,symmetric,0.4956450650537496,-6.38940761390116
6,1,0.01,0.5772733953328465,-6.435889925756576
6,1,0.1,0.5683261392977066,-6.3959244581945205
6,1,1,0.5671857098285121,-6.4130480449599645
6,1,symmetric,0.570549886739233,-6.3915955989953614
6,symmetric,0.01,0.5075513742567935,-6.443432055497466
6,symmetric,0.1,0.5061472290397943,-6.395542884873406
6,symmetric,1,0.5263900747078566,-6.378378206117933
6,symmetric,symmetric,0.5040546352703095,-6.390308085478694
7,0.01,0.01,0.527855726769494,-6.386524776641257
7,0.01,0.1,0.529337540863224,-6.333315670635744
7,0.01,1,0.5490176043371574,-6.305667636080269
7,0.01,symmetric,0.5341839473808062,-6.325071755663265
7,0.1,0.01,0.548428689161801,-6.355214788803345
7,0.1,0.1,0.5484740433528433,-6.304337608780327
7,0.1,1,0.5421126072842576,-6.30055954349937
7,0.1,symmetric,0.5547179343888885,-6.298652697496211
7,1,0.01,0.5777687774894341,-6.411497746902336
7,1,0.1,0.5777687774894341,-6.371266148594064
7,1,1,0.587814348362295,-6.40127844134562
7,1,symmetric,0.5777687774894341,-6.369944589276674
7,symmetric,0.01,0.5501669150094121,-6.356702123263809
7,symmetric,0.1,0.5514190738992858,-6.307261377557553
7,symmetric,1,0.5382267444639391,-6.307178999203017
7,symmetric,symmetric,0.548184728800611,-6.3019990608104015
