Topics,Alpha,Beta,Coherence,Perplexity
2,0.01,0.01,0.504085880130969,-6.272311787858645
2,0.01,0.1,0.504085880130969,-6.244283281243985
2,0.01,1,0.504085880130969,-6.233358410989652
2,0.01,symmetric,0.504085880130969,-6.233283485645198
2,0.1,0.01,0.5095841974433191,-6.2643922693307585
2,0.1,0.1,0.5095841974433191,-6.23679063655564
2,0.1,1,0.504085880130969,-6.226465240523569
2,0.1,symmetric,0.504085880130969,-6.226084477971977
2,1,0.01,0.5374335406697368,-6.271787967027496
2,1,0.1,0.5374335406697368,-6.244379568344875
2,1,1,0.5374335406697368,-6.236032746149458
2,1,symmetric,0.5374335406697368,-6.2348348579006
2,symmetric,0.01,0.5302663618550478,-6.267379946499561
2,symmetric,0.1,0.5302663618550478,-6.240071192590002
2,symmetric,1,0.5302663618550478,-6.231147221939274
2,symmetric,symmetric,0.5302663618550478,-6.23020120417056
3,0.01,0.01,0.5460610303917514,-6.227556070809712
3,0.01,0.1,0.5460610303917514,-6.188499154237676
3,0.01,1,0.5460610303917512,-6.176071073772094
3,0.01,symmetric,0.5460610303917514,-6.17646317090836
3,0.1,0.01,0.5389256788434634,-6.21706988636595
3,0.1,0.1,0.5389256788434634,-6.178386721665986
3,0.1,1,0.5399014400364522,-6.168092424507954
3,0.1,symmetric,0.5399014400364524,-6.1671959521009345
3,1,0.01,0.5451645926306803,-6.2355455529516846
3,1,0.1,0.5451645926306803,-6.196978730737159
3,1,1,0.5451645926306803,-6.1912539748547575
3,1,symmetric,0.5451645926306803,-6.1871263729589705
3,symmetric,0.01,0.5327660884881644,-6.223436976989865
3,symmetric,0.1,0.5327660884881644,-6.185172800555793
3,symmetric,1,0.5327660884881643,-6.177265370705534
3,symmetric,symmetric,0.5327660884881644,-6.174777601603688
4,0.01,0.01,0.5182464803493171,-6.179031915411562
4,0.01,0.1,0.5182464803493171,-6.12931244316624
4,0.01,1,0.521841905275874,-6.115074115768498
4,0.01,symmetric,0.5196993730835822,-6.116163120633534
4,0.1,0.01,0.5206650811944477,-6.167907861221308
4,0.1,0.1,0.5206650811944477,-6.1193992909207156
4,0.1,1,0.5208304313690141,-6.109558481812099
4,0.1,symmetric,0.5206650811944477,-6.107544543531829
4,1,0.01,0.5071693312504283,-6.2107545971357565
4,1,0.1,0.5071693312504283,-6.162412924939083
4,1,1,0.5081276245384022,-6.15874924609159
4,1,symmetric,0.5071693312504283,-6.152674054409318
4,symmetric,0.01,0.5259351123240307,-6.176956779978286
4,symmetric,0.1,0.5206650811944477,-6.129386808870235
4,symmetric,1,0.5206650811944477,-6.121483116912429
4,symmetric,symmetric,0.5206650811944477,-6.118714768929503
5,0.01,0.01,0.4876161983049361,-6.177344598565347
5,0.01,0.1,0.4876161983049361,-6.120796271896728
5,0.01,1,0.5032272993712091,-6.107641385937033
5,0.01,symmetric,0.49537426929237993,-6.11014752587771
5,0.1,0.01,0.4953718621828916,-6.170046918008731
5,0.1,0.1,0.49152205631026114,-6.115380560740324
5,0.1,1,0.49537186218289175,-6.111669723848631
5,0.1,symmetric,0.4915387855165598,-6.106284676720664
5,1,0.01,0.5293676955643678,-6.2147940556709225
5,1,0.1,0.5293676955643678,-6.1588660046989485
5,1,1,0.5293676955643678,-6.162606744216008
5,1,symmetric,0.5293676955643678,-6.150787852094713
5,symmetric,0.01,0.4953718621828916,-6.17549164723372
5,symmetric,0.1,0.4953718621828916,-6.1212638452579045
5,symmetric,1,0.49152205631026114,-6.119680508573751
5,symmetric,symmetric,0.491522056310261,-6.112705298285495
6,0.01,0.01,0.5062642088558116,-6.187111576687441
6,0.01,0.1,0.509505129754567,-6.12142799923534
6,0.01,1,0.5142555626602411,-6.107540380332109
6,0.01,symmetric,0.509505129754567,-6.111447927082914
6,0.1,0.01,0.4946853700041205,-6.174527171668319
6,0.1,0.1,0.5016778862974496,-6.111210429778949
6,0.1,1,0.5122512821028201,-6.105002135627763
6,0.1,symmetric,0.5016778862974496,-6.102137762392603
6,1,0.01,0.5273495627935169,-6.223990220975852
6,1,0.1,0.5268091340949932,-6.159928200120467
6,1,1,0.5222044563713611,-6.168501790421037
6,1,symmetric,0.5275928908652175,-6.152965097824931
6,symmetric,0.01,0.49310752090898263,-6.180604477457868
6,symmetric,0.1,0.49232506843876916,-6.1173756921349
6,symmetric,1,0.5075575693413115,-6.114427208574847
6,symmetric,symmetric,0.49232506843876916,-6.109303669063612
7,0.01,0.01,0.513273609501757,-6.163599897685877
7,0.01,0.1,0.5189490875713088,-6.093687784380569
7,0.01,1,0.5263664932708617,-6.08205664606075
7,0.01,symmetric,0.5201551525554844,-6.0870702740704346
7,0.1,0.01,0.5184954047817713,-6.155047975362132
7,0.1,0.1,0.5275427287226456,-6.086754324393251
7,0.1,1,0.529766979878824,-6.084233209879295
7,0.1,symmetric,0.5252187503648125,-6.079661891701342
7,1,0.01,0.5412416026328655,-6.217918212418161
7,1,0.1,0.5354103519572184,-6.14724414917356
7,1,1,0.5360313071425308,-6.160527749845579
7,1,symmetric,0.5354103519572184,-6.141815848017367
7,symmetric,0.01,0.5277337683549573,-6.159083129719971
7,symmetric,0.1,0.5266143485320659,-6.090981909636758
7,symmetric,1,0.5253319846080482,-6.091151401733426
7,symmetric,symmetric,0.5229223316038023,-6.084500901575821
