Topics,Alpha,Beta,Coherence,Perplexity
2,0.01,0.01,0.49805290473340913,-6.319223343236177
2,0.01,0.1,0.49805290473340913,-6.285662275902983
2,0.01,1,0.49805290473340913,-6.273618820450826
2,0.01,symmetric,0.49805290473340913,-6.273157236414509
2,0.1,0.01,0.49805290473340913,-6.31291631347053
2,0.1,0.1,0.49805290473340913,-6.279597301157925
2,0.1,1,0.49805290473340913,-6.26847783625093
2,0.1,symmetric,0.49805290473340913,-6.267654562046005
2,1,0.01,0.498052904733409,-6.320356601919598
2,1,0.1,0.498052904733409,-6.287473186341639
2,1,1,0.498052904733409,-6.27853418378127
2,1,symmetric,0.498052904733409,-6.276718238743807
2,symmetric,0.01,0.49805290473340913,-6.315691553688987
2,symmetric,0.1,0.49805290473340913,-6.282711989050902
2,symmetric,1,0.498052904733409,-6.273052864781596
2,symmetric,symmetric,0.49805290473340913,-6.271561250301268
3,0.01,0.01,0.4892457968930853,-6.285137107038215
3,0.01,0.1,0.4892457968930853,-6.2370393198808705
3,0.01,1,0.49017998400570245,-6.218828285035082
3,0.01,symmetric,0.49247875604243335,-6.221758278670258
3,0.1,0.01,0.4892457968930853,-6.274299455367282
3,0.1,0.1,0.4892457968930853,-6.226661325518555
3,0.1,1,0.49017998400570245,-6.211912919772865
3,0.1,symmetric,0.4892457968930853,-6.2124116146398904
3,1,0.01,0.5010208767167903,-6.28671723639271
3,1,0.1,0.5010208767167903,-6.240033495021892
3,1,1,0.5010208767167903,-6.231774776691557
3,1,symmetric,0.5010208767167903,-6.227901764868606
3,symmetric,0.01,0.4999947158234039,-6.277921802132093
3,symmetric,0.1,0.4999947158234037,-6.231010792763776
3,symmetric,1,0.49842925447416836,-6.219024202868722
3,symmetric,symmetric,0.4999947158234037,-6.217732891851338
4,0.01,0.01,0.47321625199187534,-6.225437720645129
4,0.01,0.1,0.47321625199187534,-6.1641190438162425
4,0.01,1,0.48192748204126856,-6.148003972279965
4,0.01,symmetric,0.47321625199187534,-6.149576302066726
4,0.1,0.01,0.47321625199187534,-6.215924806904387
4,0.1,0.1,0.47321625199187534,-6.155617523984403
4,0.1,1,0.47274097472385906,-6.143051621397781
4,0.1,symmetric,0.47321625199187534,-6.141892218264488
4,1,0.01,0.4668703575181543,-6.248302197022554
4,1,0.1,0.4668703575181543,-6.189348237104283
4,1,1,0.4668703575181543,-6.1843999309070075
4,1,symmetric,0.4668703575181543,-6.177506273088106
4,symmetric,0.01,0.47321625199187534,-6.22184519736584
4,symmetric,0.1,0.47321625199187534,-6.162408595792919
4,symmetric,1,0.47321625199187534,-6.152418017360899
4,symmetric,symmetric,0.47321625199187534,-6.149248309397155
5,0.01,0.01,0.4749818846544992,-6.2320515887321974
5,0.01,0.1,0.47806181781008406,-6.15872601655751
5,0.01,1,0.4817869976754497,-6.140654156244209
5,0.01,symmetric,0.47806181781008406,-6.144652514641288
5,0.1,0.01,0.47908084134514084,-6.22120123351541
5,0.1,0.1,0.47908084134514084,-6.148942483144487
5,0.1,1,0.4817869976754497,-6.136386518462027
5,0.1,symmetric,0.47908084134514084,-6.135969965096814
5,1,0.01,0.4579059899518289,-6.2624617921656665
5,1,0.1,0.4579059899518289,-6.191568074398018
5,1,1,0.4667899719373859,-6.188846707947178
5,1,symmetric,0.4579059899518289,-6.1804222554292645
5,symmetric,0.01,0.4858007614560467,-6.226304446794334
5,symmetric,0.1,0.4858007614560467,-6.154853878095373
5,symmetric,1,0.4834492935805379,-6.145148555725786
5,symmetric,symmetric,0.4858007614560467,-6.142384285227397
6,0.01,0.01,0.4648251654024848,-6.221297532765037
6,0.01,0.1,0.4648251654024848,-6.138543652831102
6,0.01,1,0.46141191126236175,-6.1211471138429125
6,0.01,symmetric,0.4648251654024848,-6.126673335189973
6,0.1,0.01,0.4703423221385205,-6.210912387853466
6,0.1,0.1,0.47034232213852056,-6.129331937730665
6,0.1,1,0.46938342500068914,-6.119142135894477
6,0.1,symmetric,0.47034232213852056,-6.118568862710633
6,1,0.01,0.466973979713405,-6.263392536601114
6,1,0.1,0.46697397971340493,-6.182919351621412
6,1,1,0.46482550289824226,-6.184912129896929
6,1,symmetric,0.46787851095774285,-6.173610228441581
6,symmetric,0.01,0.47465332278097444,-6.215253334285838
6,symmetric,0.1,0.47465332278097433,-6.13460879035748
6,symmetric,1,0.46938342500068914,-6.126825817636311
6,symmetric,symmetric,0.47465332278097433,-6.12409286984506
7,0.01,0.01,0.5185086456295082,-6.188972750738178
7,0.01,0.1,0.5162392998891848,-6.098163567277386
7,0.01,1,0.5059877225961663,-6.079380643175846
7,0.01,symmetric,0.5157648893473858,-6.088858914102367
7,0.1,0.01,0.5046455020031695,-6.180746801022709
7,0.1,0.1,0.5028055925556757,-6.091550078822437
7,0.1,1,0.5069873838798574,-6.082132520183841
7,0.1,symmetric,0.5099391268264324,-6.083209126401112
7,1,0.01,0.4983250861135748,-6.245312079021947
7,1,0.1,0.4983250861135748,-6.157368783955451
7,1,1,0.49935095734398416,-6.1652958889690135
7,1,symmetric,0.4983250861135748,-6.150350691947562
7,symmetric,0.01,0.5046455020031695,-6.184539939458865
7,symmetric,0.1,0.5054264147562385,-6.096034894970583
7,symmetric,1,0.5075170678738657,-6.08794435837432
7,symmetric,symmetric,0.5054264147562384,-6.087772956550431
