Topics,Alpha,Beta,Coherence,Perplexity
2,0.01,0.01,0.6500122569266025,-6.20978568041222
2,0.01,0.1,0.6500122569266025,-6.189534840651176
2,0.01,1,0.6500122569266025,-6.185456629370882
2,0.01,symmetric,0.6500122569266025,-6.182995219148362
2,0.1,0.01,0.6500122569266025,-6.208889135830762
2,0.1,0.1,0.6500122569266025,-6.18895619531835
2,0.1,1,0.6500122569266025,-6.18585456058675
2,0.1,symmetric,0.6500122569266025,-6.183159556891149
2,1,0.01,0.6500122569266025,-6.227223312217667
2,1,0.1,0.6500122569266025,-6.208496524498214
2,1,1,0.6500122569266025,-6.20743620602559
2,1,symmetric,0.6500122569266025,-6.204040017369892
2,symmetric,0.01,0.6500122569266025,-6.217765203071755
2,symmetric,0.1,0.6500122569266025,-6.198644246224629
2,symmetric,1,0.6500122569266025,-6.196971521019852
2,symmetric,symmetric,0.6500122569266025,-6.193832349478021
3,0.01,0.01,0.6524637006446987,-6.182642191992006
3,0.01,0.1,0.6524637006446987,-6.15845679411638
3,0.01,1,0.6559267789795579,-6.156645262678991
3,0.01,symmetric,0.6375722134092237,-6.15246385530081
3,0.1,0.01,0.6524637006446987,-6.17968983142867
3,0.1,0.1,0.6524637006446987,-6.156032705864253
3,0.1,1,0.6660281465143606,-6.156423293987118
3,0.1,symmetric,0.6375722134092237,-6.151024590640402
3,1,0.01,0.6262302559742314,-6.200601297795295
3,1,0.1,0.6262302559742314,-6.1790764289600375
3,1,1,0.6286126704528263,-6.182483881322797
3,1,symmetric,0.6262302559742314,-6.175034459541134
3,symmetric,0.01,0.6579281217559464,-6.189279254682738
3,symmetric,0.1,0.6579281217559464,-6.166774057827044
3,symmetric,1,0.6476735809440264,-6.169086817025555
3,symmetric,symmetric,0.6579281217559464,-6.162611509812306
4,0.01,0.01,0.6508618705727769,-6.1470367255516445
4,0.01,0.1,0.6489392143517935,-6.1167572222689675
4,0.01,1,0.6472897496047256,-6.110201847573785
4,0.01,symmetric,0.6489392143517934,-6.109577088491578
4,0.1,0.01,0.6483609021056685,-6.137662890498818
4,0.1,0.1,0.6489392143517934,-6.108793274734269
4,0.1,1,0.6490598018003767,-6.107752581095197
4,0.1,symmetric,0.6489392143517934,-6.103138324568593
4,1,0.01,0.6475379048933034,-6.172254132649192
4,1,0.1,0.6475379048933034,-6.146681520801807
4,1,1,0.6430183295429387,-6.155129189797057
4,1,symmetric,0.648583195608829,-6.1437825750766875
4,symmetric,0.01,0.6414197707866054,-6.143711918883134
4,symmetric,0.1,0.6414197707866054,-6.116157220805266
4,symmetric,1,0.6490598018003767,-6.118108037912612
4,symmetric,symmetric,0.6479703409763413,-6.1113619453659735
5,0.01,0.01,0.5882591544873627,-6.140950158392794
5,0.01,0.1,0.584180604969585,-6.107032519930822
5,0.01,1,0.57389298641404,-6.104999839038239
5,0.01,symmetric,0.584180604969585,-6.100594658313057
5,0.1,0.01,0.5801621457827817,-6.128151901621925
5,0.1,0.1,0.5853050508006648,-6.095385373266416
5,0.1,1,0.5844498793604771,-6.1012303853520455
5,0.1,symmetric,0.5881737778202624,-6.090999200943526
5,1,0.01,0.5964166856277261,-6.1647160027665215
5,1,0.1,0.5941957865167222,-6.137135483886647
5,1,1,0.588215799677162,-6.155842139072438
5,1,symmetric,0.5941957865167222,-6.135562864699088
5,symmetric,0.01,0.5902883952521425,-6.1324272790813925
5,symmetric,0.1,0.5902883952521426,-6.100758625599991
5,symmetric,1,0.5834763103028465,-6.109909413553247
5,symmetric,symmetric,0.5862098457343649,-6.09670740930188
6,0.01,0.01,0.5555415101975753,-6.129237794038371
6,0.01,0.1,0.567081045103293,-6.092336537574586
6,0.01,1,0.5613038313799589,-6.080036654357094
6,0.01,symmetric,0.5525223506127394,-6.088623647939782
6,0.1,0.01,0.5570839075703325,-6.113679251807846
6,0.1,0.1,0.5521110499944749,-6.080050148960636
6,0.1,1,0.5613038313799589,-6.076313133862348
6,0.1,symmetric,0.5542243795034132,-6.075721359529892
6,1,0.01,0.5836360997256207,-6.147361727359495
6,1,0.1,0.5836360997256207,-6.119137008939253
6,1,1,0.577293311793751,-6.139537809713984
6,1,symmetric,0.5754301922457284,-6.11803145515372
6,symmetric,0.01,0.5667300706725432,-6.116203798566628
6,symmetric,0.1,0.5649558187078028,-6.08316866912349
6,symmetric,1,0.5543382975233173,-6.0822797721167055
6,symmetric,symmetric,0.5706173378352316,-6.07846685345963
7,0.01,0.01,0.5557121407783323,-6.089681522222212
7,0.01,0.1,0.5495694838489384,-6.052055761923328
7,0.01,1,0.5539088965999717,-6.042300419563417
7,0.01,symmetric,0.5471284014753496,-6.04764436458149
7,0.1,0.01,0.5585426532794093,-6.075290524916244
7,0.1,0.1,0.5585426532794092,-6.040544738245527
7,0.1,1,0.5556174061498157,-6.0406180020274185
7,0.1,symmetric,0.5565494066129755,-6.037952098807563
7,1,0.01,0.5608433507039342,-6.12144147831187
7,1,0.1,0.5589543483285973,-6.092563033928765
7,1,1,0.5591938684155819,-6.126348210403467
7,1,symmetric,0.5615729504532828,-6.092118389444111
7,symmetric,0.01,0.5537892763404695,-6.07839725481741
7,symmetric,0.1,0.5600033440646826,-6.044329330310181
7,symmetric,1,0.5560928935006882,-6.046648198184075
7,symmetric,symmetric,0.5565494066129755,-6.042320746493137
