Topics,Alpha,Beta,Coherence,Perplexity
2,0.01,0.01,0.42673618637508687,-4.922840936048295
2,0.01,0.1,0.42673618637508687,-4.890735315592073
2,0.01,1,0.4267361863750869,-4.881645399333863
2,0.01,symmetric,0.42673618637508687,-4.87974901898871
2,0.1,0.01,0.42673618637508687,-4.913522043246899
2,0.1,0.1,0.42673618637508687,-4.882378240690085
2,0.1,1,0.42673618637508687,-4.874530450242343
2,0.1,symmetric,0.42673618637508687,-4.87223891574777
2,1,0.01,0.4749685497966429,-4.924809777249827
2,1,0.1,0.4749685497966429,-4.89392687272201
2,1,1,0.4749685497966429,-4.888953295804018
2,1,symmetric,0.4749685497966429,-4.88552573605703
2,symmetric,0.01,0.45569528390611624,-4.91752786105766
2,symmetric,0.1,0.45569528390611624,-4.886653668094067
2,symmetric,1,0.4556952839061162,-4.880906715299427
2,symmetric,symmetric,0.45569528390611624,-4.8778294292331354
3,0.01,0.01,0.5136904739174014,-4.845651985315511
3,0.01,0.1,0.5136904739174014,-4.8026422720127675
3,0.01,1,0.5385768927908227,-4.782303414481944
3,0.01,symmetric,0.5378112635669238,-4.782923993451495
3,0.1,0.01,0.5378112635669238,-4.830398439579233
3,0.1,0.1,0.5378112635669238,-4.787781105388978
3,0.1,1,0.5378112635669238,-4.774231654016344
3,0.1,symmetric,0.5378112635669238,-4.772128571452596
3,1,0.01,0.5306924626021313,-4.8546606687871385
3,1,0.1,0.5306924626021314,-4.811676568253414
3,1,1,0.5378112635669238,-4.810133818320442
3,1,symmetric,0.5378112635669238,-4.802232478452659
3,symmetric,0.01,0.5335901134267912,-4.832760454099173
3,symmetric,0.1,0.5335901134267912,-4.79070895950175
3,symmetric,1,0.5378112635669238,-4.785183752126954
3,symmetric,symmetric,0.5378112635669238,-4.779776037169169
4,0.01,0.01,0.5816526351088027,-4.803918113429415
4,0.01,0.1,0.5816526351088027,-4.750540423595893
4,0.01,1,0.5700417128086213,-4.735447826449341
4,0.01,symmetric,0.5848184977139022,-4.734046050779195
4,0.1,0.01,0.5737155821830086,-4.788114049018658
4,0.1,0.1,0.5816526351088027,-4.736329006076385
4,0.1,1,0.5803076195170793,-4.728308257907958
4,0.1,symmetric,0.5848184977139022,-4.721998240003216
4,1,0.01,0.5683050760822577,-4.848153958020621
4,1,0.1,0.5683050760822577,-4.794866343242794
4,1,1,0.5517865645155962,-4.8006466872337725
4,1,symmetric,0.5689431960612732,-4.78589847747941
4,symmetric,0.01,0.5816526351088027,-4.797519707249928
4,symmetric,0.1,0.5816526351088027,-4.7454902032112
4,symmetric,1,0.5816526351088027,-4.742963943313026
4,symmetric,symmetric,0.5816526351088027,-4.733208798776662
5,0.01,0.01,0.5433876984462405,-4.786675606567257
5,0.01,0.1,0.5437957637766548,-4.726778822612755
5,0.01,1,0.5470428168693572,-4.711994145847199
5,0.01,symmetric,0.5437957637766548,-4.714241196882224
5,0.1,0.01,0.5452507814723717,-4.773448298122622
5,0.1,0.1,0.5452507814723717,-4.713949591809551
5,0.1,1,0.5438683794311544,-4.708312641287043
5,0.1,symmetric,0.5397123040141805,-4.703871043269865
5,1,0.01,0.5627976573314571,-4.84516837745576
5,1,0.1,0.5623473423010685,-4.780512035908377
5,1,1,0.5623473423010686,-4.788409039718075
5,1,symmetric,0.5623473423010686,-4.77140110969061
5,symmetric,0.01,0.5335122509206845,-4.7846403277516805
5,symmetric,0.1,0.5342906508459665,-4.724720566611767
5,symmetric,1,0.5482506608315877,-4.723207100701735
5,symmetric,symmetric,0.5429352134554011,-4.7151005682368945
6,0.01,0.01,0.5341231963170169,-4.813070485576428
6,0.01,0.1,0.5314102767880187,-4.745565567473587
6,0.01,1,0.5286627880939666,-4.73491362914295
6,0.01,symmetric,0.5314102767880187,-4.733289706703848
6,0.1,0.01,0.5288777134306939,-4.7953160716471555
6,0.1,0.1,0.5288777134306939,-4.728604503751152
6,0.1,1,0.5250997575653487,-4.732912497116065
6,0.1,symmetric,0.5288777134306939,-4.718172613810405
6,1,0.01,0.5173659558734193,-4.881443801864356
6,1,0.1,0.5173659558734193,-4.806158021581445
6,1,1,0.5171981450552828,-4.8113827014458455
6,1,symmetric,0.5089622030489797,-4.797811699557208
6,symmetric,0.01,0.5191248950497637,-4.819808814887881
6,symmetric,0.1,0.5105426616438956,-4.753679551338781
6,symmetric,1,0.5233562066148489,-4.753156873395199
6,symmetric,symmetric,0.514067259608633,-4.744844359720867
7,0.01,0.01,0.4871589480498814,-4.811456343535035
7,0.01,0.1,0.49503610532780284,-4.737145095417102
7,0.01,1,0.4964573052682154,-4.724534529139308
7,0.01,symmetric,0.49293464816940513,-4.731273675334282
7,0.1,0.01,0.4819639045250174,-4.802631183621022
7,0.1,0.1,0.49251150030591695,-4.728367579292514
7,0.1,1,0.49388120165452987,-4.726632658958523
7,0.1,symmetric,0.49251150030591695,-4.721916135623667
7,1,0.01,0.5126594433441926,-4.891187523829533
7,1,0.1,0.5123344882012068,-4.80949196742849
7,1,1,0.5242755767900523,-4.825807307426207
7,1,symmetric,0.5111135238003545,-4.803486754692888
7,symmetric,0.01,0.49306705936904993,-4.8039413642014885
7,symmetric,0.1,0.4926055488330188,-4.728382888600789
7,symmetric,1,0.49338702225787834,-4.729338848351818
7,symmetric,symmetric,0.4938173046692369,-4.721244949236172
