tingkat setelah parent,parent,similarity

1,banjir,"[('longsor', 0.6445528268814087), ('luapan', 0.6219333410263062), ('kekeringan', 0.6196048259735107), ('jebolnya', 0.6081517934799194), ('kemacetan', 0.5943864583969116), ('erosi', 0.5898998379707336), ('tanggul', 0.5850115418434143), ('bencana', 0.5844983458518982), ('kebakaran', 0.5663203597068787), ('bandang', 0.5528610944747925)]"
1,epidemi,"[('wabah', 0.8332653045654297), ('kolera', 0.7917323708534241), ('epidemik', 0.7651592493057251), ('malaria', 0.7297762036323547), ('pandemi', 0.7278754711151123), ('pandemik', 0.7021048665046692), ('campak', 0.6930645108222961), ('penyakit', 0.6798382997512817), ('disentri', 0.6782302856445312), ('variola', 0.676062285900116)]"
1,gempa,"[('tsunami', 0.6592148542404175), ('letusan', 0.619019627571106), ('guncangan', 0.5745404958724976), ('gempabumi', 0.5556459426879883), ('longsor', 0.5369135141372681), ('erupsi', 0.5282527208328247), ('bencana', 0.5150286555290222), ('ledakan', 0.5082412362098694), ('susulan', 0.5070127844810486), ('mengguncang', 0.5069633722305298)]"
1,kebakaran,"[('ledakan', 0.6149957776069641), ('banjir', 0.5663204789161682), ('pemadaman', 0.5525127649307251), ('musibah', 0.5361427068710327), ('terbakar', 0.5344908237457275), ('longsor', 0.5212211012840271), ('bencana', 0.5183101296424866), ('letusan', 0.5091123580932617), ('kecelakaan', 0.5030372142791748), ('kepanikan', 0.5022986531257629)]"
1,kehancuran,"[('keruntuhan', 0.7305463552474976), ('kejatuhan', 0.7262977361679077), ('hancurnya', 0.713828980922699), ('malapetaka', 0.6836079359054565), ('kehancurannya', 0.6807349920272827), ('kekacauan', 0.6780995726585388), ('penghancuran', 0.671142578125), ('kemunduran', 0.6347957253456116), ('kesengsaraan', 0.6285718679428101), ('jatuhnya', 0.6192030906677246)]"
1,kekeringan,"[('erosi', 0.6865314841270447), ('kelaparan', 0.6787006258964539), ('epidemi', 0.6630136966705322), ('kelangkaan', 0.6590107679367065), ('deforestasi', 0.6589246392250061), ('goncangan', 0.639862596988678), ('pengikisan', 0.6341559886932373), ('sedimentasi', 0.6302454471588135), ('abrasi', 0.6295347809791565), ('banjir', 0.6196048259735107)]"
1,kelaparan,"[('wabah', 0.704428493976593), ('kekeringan', 0.6787006258964539), ('epidemi', 0.66883784532547), ('kepanikan', 0.6217405796051025), ('malapetaka', 0.6183853149414062), ('kolera', 0.6167947053909302), ('kesengsaraan', 0.6131706833839417), ('kesusahan', 0.6067626476287842), ('penderitaan', 0.5591515898704529), ('berkepanjangan', 0.5558048486709595)]"
1,malapetaka,"[('kemalangan', 0.7452799677848816), ('kesengsaraan', 0.7008013129234314), ('kesialan', 0.6859087944030762), ('kehancuran', 0.6836079359054565), ('kesusahan', 0.6824883818626404), ('celaka', 0.6773480176925659), ('murka', 0.6602672338485718), ('siksaan', 0.6533686518669128), ('kebinasaan', 0.6447659134864807), ('azab', 0.6414027810096741)]"
1,musibah,"[('kecelakaan', 0.6779184937477112), ('bencana', 0.6405043601989746), ('insiden', 0.627090573310852), ('malapetaka', 0.6267542839050293), ('tragedi', 0.5997490286827087), ('kemalangan', 0.5875647664070129), ('kesialan', 0.5659881234169006), ('kejadian', 0.5631272792816162), ('imbasnya', 0.5617528557777405), ('tenggelamnya', 0.5430253744125366)]"
