,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Title
0,0,2,0.7631,"hakim, sambo, saudara, jaksa, arif, yosua, terdakwa, pembunuhan, ferdy_sambo, saksi, agus, chuck, polri, hendra, cctv, perintah, mengaku, yosua_hutabarat, irfan, pembunuhan_brigadir, terkait, jaksel, duren, sidang, keterangan, polisi, jakarta, hendra_kurniawan, mulia","['polisi', 'mengungkap', 'pembunuhan', 'wanita', 'berinisial', 'mayatnya', 'ditemukan', 'karung', 'gunung', 'putri', 'bogor', 'korban', 'dibunuh', 'pria', 'selingkuhannya', 'hasil', 'penyelidikan', 'diperoleh', 'fakta', 'fakta', 'hukum', 'mengarah', 'diduga', 'kapolres', 'bogor', 'akbp', 'iman', 'imanuddin', 'konferensi', 'pers', 'mapolres', 'bogor', 'jalan', 'tegar', 'beriman', 'cibinong', 'tersangka', 'ditangkap', 'polisi', 'indramayu', 'jawa', 'tersangka', 'ditahan', 'menjalani', 'pemeriksaan', 'tersangka', 'korban', 'hubungan', 'iman', 'korban', 'tersangka', 'memiliki', 'hubungan', 'asmara', 'terlarang', 'tersangka', 'guru', 'ngaji', 'korban', 'kronologi', 'kejadian', 'perbuatan', 'tersangka', 'tersangka', 'korban', 'saudari', 'memiliki', 'hubungan', 'korban', 'selingkuhan', 'tersangka', 'tersangka', 'guru', 'ngaji', 'korban', 'iman', 'motif', 'curi', 'uang', 'korban', 'tersangka', 'berniat', 'kampung', 'halamannya', 'indramayu', 'memiliki', 'uang', 'terlintas', 'pikiran', 'tersangka', 'mengambil', 'dimiliki', 'korban', 'bebernya', 'korban', 'disetubuhi', 'dibunuh', 'korban', 'diajak', 'kontrakan', 'tersangka', 'berdua', 'berhubungan', 'badan', 'korban', 'dibunuh', 'kontrakannya', 'hubungan', 'badan', 'pencekikan', 'korban', 'korban', 'tersangka', 'membawa', 'korban', 'mencari', 'pembuangan', 'mayat', 'imbuhnya', 'tersangka', 'dikenakan', 'pasal', 'mengakibatkan', 'korban', 'meninggal', 'akibat', 'perbuatannya', 'tersangka', 'terancam', 'hukuman', 'mati', 'tindak_pidana', 'barang_barang', 'pasal_kuhp', 'meninggal_dunia', 'hukuman_penjara']","['kronologi', 'pria', 'bunuh', 'wanita', 'selingkuhan', 'bogor', 'gegara', 'kuasai', 'harta']"
1,1,2,0.8815,"hakim, sambo, saudara, jaksa, arif, yosua, terdakwa, pembunuhan, ferdy_sambo, saksi, agus, chuck, polri, hendra, cctv, perintah, mengaku, yosua_hutabarat, irfan, pembunuhan_brigadir, terkait, jaksel, duren, sidang, keterangan, polisi, jakarta, hendra_kurniawan, mulia","['jurnalis', 'amerika', 'serikat', 'meninggal', 'meliput', 'perempatfinal', 'piala', 'dunia', 'keluarganya', 'diusut', 'meninggal', 'meliput', 'pertandingan', 'belanda', 'argentina', 'lusail', 'iconic', 'stadium', 'lusail', 'qatar', 'kolaps', 'mengembuskan', 'nafas', 'terakhirnya', 'usia', 'mantan', 'jurnalis', 'sports', 'illustrated', 'fox', 'sports', 'diyakini', 'meninggal', 'keletihan', 'jurnalis', 'terkenal', 'meliput', 'pertandingan', 'mengeluh', 'laga', 'belanda', 'argentina', 'saudaranya', 'eric', 'meninggal', 'dibunuh', 'vokal', 'mengkritik', 'qatar', 'terkait', 'isu', 'lgbt', 'viral', 'dilarang', 'masuk', 'stadion', 'piala', 'dunia', 'mengenakan', 'kaus', 'bergambar', 'pelangi', 'simbol', 'lgbt', 'qatar', 'keras', 'melarang', 'beredarnya', 'simbol', 'dukungan', 'lgbt', 'area', 'eric', 'mengaku', 'ancaman', 'pembunuhan', 'eric', 'dibunuh', 'sakit', 'alasan', 'mengenakan', 'kaos', 'pelangi', 'piala', 'dunia', 'adik', 'sehat', 'menerima', 'ancaman', 'pembunuhan', 'percaya', 'saudara', 'meninggal', 'dibunuh', 'memohon', 'bantuan', 'eric', 'dilansir', 'berusaha', 'mencari', 'pingsan', 'stadion', 'cpr', 'dibawa', 'uber', 'sakit', 'meninggal', 'istri', 'celine', 'berbicara', 'departemen', 'negeri', 'celine', 'berbicara', 'ron', 'klain', 'pejabat', 'perwakilan', 'gedung', 'putih', 'fifa', 'angkat', 'suara', 'mengomentari', 'meninggalnya', 'laga', 'belanda', 'argentina', 'presiden', 'gianni', 'infantino', 'ucapan', 'berduka', 'langsung', 'percaya', 'kesedihan', 'diberitahu', 'meninggalnya', 'jurnalis', 'olahraga', 'terkenal', 'melaporkan', 'pertandingan', 'perempatfinal', 'piala', 'dunia', 'fifa', 'qatar', 'infantino', 'pernyataannya', 'grant', 'diakui', 'fifa', 'aips', 'kontribusinya', 'meliput', 'delapan', 'pertandingan', 'piala', 'dunia', 'fifa', 'kariernya', 'mencakup', 'kehadiran', 'piala', 'dunia', 'wanita', 'fifa', 'acara', 'olahraga', 'internasional', 'kecintaannya', 'sepakbola', 'liputannya', 'dirindukan', 'mengikuti', 'pertandingan', 'global', 'nama', 'fifa', 'komunitas', 'sepakbola', 'belasungkawa', 'tulus', 'istrinya', 'celine', 'keluarganya', 'teman', 'temannya', 'sulit', 'pernyataan', 'infantino', 'meninggalnya', 'grant', 'grant_wahl', 'grant_wahl', 'grant_wahl', 'grant_wahl', 'grant_wahl', 'grant_wahl', 'grant_wahl', 'grant_wahl', 'laki_laki', 'rumah_sakit', 'grant_wahl', 'grant_wahl', 'grant_wahl']","['jurnalis', 'meninggal', 'piala', 'dunia', 'keluarga', 'kematiannya', 'diusut']"
2,2,2,0.8894,"hakim, sambo, saudara, jaksa, arif, yosua, terdakwa, pembunuhan, ferdy_sambo, saksi, agus, chuck, polri, hendra, cctv, perintah, mengaku, yosua_hutabarat, irfan, pembunuhan_brigadir, terkait, jaksel, duren, sidang, keterangan, polisi, jakarta, hendra_kurniawan, mulia","['rizal', 'namanya', 'dipakai', 'membuka', 'rekening', 'membeli', 'ricky', 'memiliki', 'rekening', 'bank', 'berbeda', 'uang', 'rekening', 'milik', 'mulia', 'brebes', 'buka', 'rekening', 'bni', 'mulia', 'nama', 'keperluan', 'anaknya', 'suka', 'main', 'game', 'situ', 'keperluan', 'ricky', 'jaksel', 'dilansir', 'pakai', 'rekening', 'nama', 'pakai', 'nama', 'saudara', 'hakim', 'ricky', 'nama', 'ricky', 'dipakai', 'membeli', 'motor', 'honda', 'beat', 'brebes', 'menurutnya', 'pembelian', 'motor', 'mengharuskan', 'ktp', 'brebes', 'membuka', 'rekening', 'ricky', 'namanya', 'dipinjam', 'membeli', 'motor', 'honda', 'beat', 'brebes', 'membeli', 'motor', 'ktp', 'brebes', 'setahu', 'motor', 'beat', 'beliau', 'brebes', 'pakai', 'ktp', 'brebes', 'rekening', 'mulia', 'ricky', 'ricky', 'menyebut', 'memiliki', 'rekening', 'bank', 'berbeda', 'menampung', 'uang', 'total', 'juta', 'rekening', 'rekening', 'mulia', 'uang', 'milik', 'hakim', 'mulia', 'operasional', 'magelang', 'ricky', 'bni', 'saudara', 'udah', 'uang', 'juta', 'hakim', 'juta', 'mulia', 'ditambah', 'pemindahan', 'juta', 'ricky', 'rekening', 'satunya', 'ricky', 'mengaku', 'saldo', 'juta', 'bca', 'hakim', 'hafal', 'mulia', 'ricky', 'juta', 'cecar', 'hakim', 'ricky', 'ricky', 'saksi', 'eliezer', 'sidang', 'eliezer', 'bersaksi', 'ricky', 'kuat', 'terdakwa', 'kuhp', 'bripka_ricky', 'ferdy_sambo', 'sepeda_motor', 'ferdy_sambo', 'ferdy_sambo', 'ferdy_sambo', 'kuat_ruf', 'terdakwa_didakwa', 'melanggar_pasal', 'kuhp_subsider', 'pasal_kuhp', 'juncto_pasal']","['ricky', 'namanya', 'dipakai', 'sambo', 'buka', 'rekening', 'beli', 'motor']"
3,3,2,0.9175,"hakim, sambo, saudara, jaksa, arif, yosua, terdakwa, pembunuhan, ferdy_sambo, saksi, agus, chuck, polri, hendra, cctv, perintah, mengaku, yosua_hutabarat, irfan, pembunuhan_brigadir, terkait, jaksel, duren, sidang, keterangan, polisi, jakarta, hendra_kurniawan, mulia","['alias', 'bharada', 'mengungkap', 'momen', 'pertemuan', 'pembunuhan', 'bharada', 'tertawa', 'mengaku', 'memakai', 'senjata', 'membunuh', 'saksi', 'pembunuhan', 'jaksel', 'bharada', 'menceritakan', 'penembakan', 'dipanggil', 'menghadap', 'kediamannya', 'berulang', 'kali', 'tertawa', 'senjata', 'mengeksekusi', 'provos', 'kediaman', 'bang', 'beliau', 'berulang', 'ulang', 'kali', 'ketawa', 'pakai', 'senjata', 'richard', 'penyampaian', 'kayaknya', 'ketawa', 'jaksa', 'iya', 'ketawa', 'richard', 'tembakkah', 'timpal', 'jaksa', 'pakai', 'senjata', 'richard', 'eliezer', 'sidang', 'saksi', 'perkara', 'biripka', 'rizal', 'eliezer', 'rizal', 'pembunuhan', 'yosua', 'eliezer', 'yosua', 'perkara', 'didakwa', 'kuhp', 'ricky', 'rizal', 'tepis', 'sambo', 'tertawa', 'ricky', 'rizal', 'menepis', 'keterangan', 'richard', 'eliezer', 'ricky', 'memaparkan', 'kesaksian', 'eliezer', 'menyebut', 'dikumpulkan', 'sambo', 'senjata', 'tertawa', 'membunuh', 'yosua', 'ricky', 'sambo', 'beliau', 'tembak', 'senjata', 'ricky', 'sidang', 'jakarta', 'maksudnya', 'hakim', 'saudara', 'penembakan', 'dikumpulkan', 'dipanggil', 'tembak', 'ketawa', 'ketawa', 'beliau', 'senjata', 'nembak', 'mendengar', 'papar', 'ricky', 'bharada_richard', 'bripka_ricky', 'ferdy_sambo', 'pembunuhan_brigadir', 'nopriansyah_yosua', 'hutabarat_brigadir', 'ferdy_sambo', 'sidang_lanjutan', 'pembunuhan_brigadir', 'duduk_terdakwa', 'kuat_ruf', 'bripka_ricky', 'brigadir_yosua', 'bripka_ricky', 'ferdy_sambo', 'ferdy_sambo', 'ruang_sidang', 'richard_eliezer', 'kuat_ruf', 'ricky_rizal', 'kuat_ruf', 'terdakwa_didakwa', 'ferdy_sambo', 'putri_candrawathi', 'kuat_ruf', 'bripka_ricky', 'pembunuhan_berencana', 'brigadir_nopriansyah', 'yosua_hutabarat', 'sadar_ragu', 'menembak_yosua', 'terdakwa_didakwa', 'melanggar_pasal', 'kuhp_subsider', 'pasal_kuhp', 'juncto_pasal', 'ricky_rizal', 'bripka_ricky', 'richard_eliezer', 'sidang_lanjutan', 'pengadilan_negeri']","['tawa', 'sambo', 'diungkap', 'eliezer', 'gegara', 'pakai', 'senjata']"
4,4,2,0.9553,"hakim, sambo, saudara, jaksa, arif, yosua, terdakwa, pembunuhan, ferdy_sambo, saksi, agus, chuck, polri, hendra, cctv, perintah, mengaku, yosua_hutabarat, irfan, pembunuhan_brigadir, terkait, jaksel, duren, sidang, keterangan, polisi, jakarta, hendra_kurniawan, mulia","['mantan', 'korspri', 'polri', 'kompol', 'mengaku', 'dibentak', 'membahas', 'duren', 'tkp', 'pembunuhan', 'chuck', 'bicara', 'nada', 'duren', 'rumah', 'tanggal', 'tkp', 'ketemu', 'beliau', 'coba', 'cek', 'masuk', 'saudara', 'diperiksa', 'senpinya', 'chuck', 'jaksel', 'chuck', 'masuk', 'brigjen', 'bicara', 'chuck', 'menghampiri', 'membahas', 'cctv', 'masuk', 'arah', 'cctv', 'mengarah', 'ruang', 'makan', 'bagus', 'membuktikan', 'peristiwa', 'rusak', 'nggak', 'beliau', 'nada', 'langsung', 'chuck', 'chuck', 'ambil', 'dvr', 'polres', 'jaksel', 'chuck', 'momen', 'kalinya', 'dimarahi', 'chuck', 'menyebut', 'sambo', 'dvr', 'cctv', 'serahkan', 'polres', 'jakarta', 'beliau', 'dvr', 'cctv', 'dvr', 'cctv', 'jenderal', 'dvr', 'cctv', 'rumah', 'serahkan', 'polres', 'jakarta', 'beliau', 'nada', 'beliau', 'perintah', 'diserahkan', 'polres', 'jakarta', 'chuck', 'chuck', 'diperintah', 'sambo', 'mengambil', 'dvr', 'diperintah', 'menyalin', 'rekaman', 'dvr', 'cctv', 'ambil', 'lihat', 'copy', 'mohon', 'izin', 'jenderal', 'copy', 'lakukan', 'bertanggung', 'beliau', 'penyidik', 'serahkan', 'chuck', 'menirukan', 'ucapan', 'sambo', 'duduk', 'sidang', 'richard', 'eliezer', 'sambo', 'rizal', 'pembunuhan', 'brigadir', 'eliezer', 'perkara', 'terdakwa', 'didakwa', 'kuhp', 'kadiv_propam', 'chuck_putranto', 'ferdy_sambo', 'kamera_cctv', 'rumah_dinas', 'pembunuhan_brigadir', 'yosua_hutabarat', 'ferdy_sambo', 'ferdy_sambo', 'bersaksi_sidang', 'hendra_kurniawan', 'ferdy_sambo', 'ferdy_sambo', 'bharada_richard', 'eliezer_bripka', 'ricky_rizal', 'kuat_ruf', 'ferdy_sambo', 'putri_candrawathi', 'kuat_ruf', 'bripka_ricky', 'pembunuhan_berencana', 'brigadir_nopriansyah', 'yosua_hutabarat', 'sadar_ragu', 'menembak_yosua', 'terdakwa_didakwa', 'melanggar_pasal', 'kuhp_subsider', 'pasal_kuhp', 'juncto_pasal']","['ucapan', 'sambo', 'chuck', 'lihat', 'cctv', 'tkp', 'yosua', 'rusak']"
5,5,2,0.9295,"hakim, sambo, saudara, jaksa, arif, yosua, terdakwa, pembunuhan, ferdy_sambo, saksi, agus, chuck, polri, hendra, cctv, perintah, mengaku, yosua_hutabarat, irfan, pembunuhan_brigadir, terkait, jaksel, duren, sidang, keterangan, polisi, jakarta, hendra_kurniawan, mulia","['yunantyo', 'adi', 'setiawan', 'keluarga', 'iwan', 'boedi', 'prasetijo', 'membocorkan', 'nelayan', 'hilang', 'tubuh', 'iwan', 'boedi', 'ditemukan', 'kawasan', 'pantai', 'marina', 'semarang', 'kemarin', 'nelayan', 'hilang', 'dikonfirmasi', 'informasi', 'dapatkan', 'nelayan', 'hilang', 'diduga', 'kedatangan', 'iwan', 'boedi', 'kawasan', 'pantai', 'marina', 'semarang', 'nyambi', 'parkir', 'paparnya', 'kejadian', 'iwan', 'boedi', 'ditemukan', 'mengalami', 'perubahan', 'pengurukan', 'pohon', 'parkir', 'dijadikan', 'parkir', 'yunantyo', 'menemukan', 'jalan', 'setapak', 'mengarah', 'tubuh', 'iwan', 'boedi', 'ditemukan', 'menduga', 'jalan', 'eksekusi', 'korban', 'korban', 'menyangka', 'ramai', 'korban', 'dibawa', 'semak', 'semak', 'paparnya', 'menduga', 'mendesak', 'iwan', 'boedi', 'semak', 'semak', 'berani', 'berspekulasi', 'mendesak', 'korban', 'mendesak', 'semak', 'semak', 'mendesak', 'yunantyo', 'keluarga', 'iwan', 'boedi', 'bersurat', 'lpsk', 'perlindungan', 'asesmen', 'keluarga', 'iwan', 'boedi', 'mengajukan', 'perlindungan', 'lpsk', 'prosedur', 'hukum', 'psikologi', 'keluarga', 'fisik', 'keluarga', 'iwan', 'boedi', 'perlindungan', 'lpsk', 'mengaku', 'lpsk', 'rumah', 'keluarga', 'iwan', 'boedi', 'lpsk', 'menawarkan', 'perlindungan', 'keluarga', 'korban', 'rumah', 'menawarkan', 'paparnya', 'kuasa_hukum']","['pengacara', 'keluarga', 'iwan', 'boedi', 'nelayan', 'hilang', 'terbunuhnya', 'korban']"
6,6,2,0.9934,"hakim, sambo, saudara, jaksa, arif, yosua, terdakwa, pembunuhan, ferdy_sambo, saksi, agus, chuck, polri, hendra, cctv, perintah, mengaku, yosua_hutabarat, irfan, pembunuhan_brigadir, terkait, jaksel, duren, sidang, keterangan, polisi, jakarta, hendra_kurniawan, mulia","['sidang', 'pembunuhan', 'santoso', 'geram', 'sambo', 'kuat', 'menyebutnya', 'buta', 'tuli', 'hakim_ketua', 'pembunuhan_brigadir', 'wahyu_iman', 'kuat_ruf', 'menembak_yosua', 'majelis_hakim']","['hakim', 'geram', 'kuat', 'ricky', 'lihat', 'sambo', 'tembak', 'yosua']"
7,7,2,0.9988,"hakim, sambo, saudara, jaksa, arif, yosua, terdakwa, pembunuhan, ferdy_sambo, saksi, agus, chuck, polri, hendra, cctv, perintah, mengaku, yosua_hutabarat, irfan, pembunuhan_brigadir, terkait, jaksel, duren, sidang, keterangan, polisi, jakarta, hendra_kurniawan, mulia","['karo', 'paminal', 'mengakui', 'memerintahkan', 'buahnya', 'mengamankan', 'cctv', 'duren', 'tkp', 'pembunuhan', 'perintah', 'mantan', 'hendra', 'menanggapi', 'kesaksian', 'anggota', 'timsus', 'agus', 'sariful', 'hidayat', 'jaksel', 'hendra', 'membeberkan', 'dilontarkan', 'agus', 'sariful', 'pemeriksaan', 'timsus', 'timsus', 'bersangkutan', 'jambi', 'perintah', 'hendra', 'menirukan', 'percakapan', 'agus', 'hendra', 'agus', 'sariful', 'mengamankan', 'cctv', 'pembunuhan', 'polri', 'duren', 'hendra', 'mengamini', 'menyebut', 'screening', 'cctv', 'perintah', 'mengamankan', 'cctv', 'bentuknya', 'screening', 'screening', 'mendeteksi', 'menyeleksi', 'buku', 'kamus', 'silakan', 'cek', 'dilaporkan', 'dilaporkan', 'hendra', 'menirukan', 'sesi', 'pemeriksaan', 'hendra', 'agus', 'nurpatria', 'didakwa', 'rusak', 'cctv', 'kombes', 'agus', 'nurpatria', 'adi', 'purnama', 'hendra', 'didakwa', 'merusak', 'cctv', 'terhalanginya', 'pembunuhan', 'perbuatan', 'agus', 'hendra', 'terdakwa', 'kompol', 'kompol', 'baiquni', 'wibowo', 'widyanto', 'rachman', 'arifin', 'didakwa', 'berkas', 'terpisah', 'agus', 'hendra', 'didakwa', 'nomor', 'elektronik', 'ite', 'pasal', 'pasal', 'kuhp', 'propam_polri', 'hendra_kurniawan', 'kompleks_polri', 'pembunuhan_brigadir', 'yosua_hutabarat', 'mantan_kadiv', 'propam_polri', 'ferdy_sambo', 'pembunuhan_brigadir', 'yosua_hutabarat', 'kompleks_polri', 'hendra_kurniawan', 'penyidikan_pembunuhan', 'yosua_hutabarat', 'chuck_putranto', 'akp_irfan', 'akbp_arif', 'pasal_juncto', 'pasal_juncto', 'undang_undang', 'perubahan_undang', 'undang_nomor', 'informasi_transaksi', 'juncto_pasal', 'kuhp_pasal', 'kuhp_pasal', 'juncto_pasal']","['hendra', 'kurniawan', 'akui', 'perintahkan', 'buah', 'amankan', 'cctv', 'kompleks', 'sambo']"
8,8,2,0.9801,"hakim, sambo, saudara, jaksa, arif, yosua, terdakwa, pembunuhan, ferdy_sambo, saksi, agus, chuck, polri, hendra, cctv, perintah, mengaku, yosua_hutabarat, irfan, pembunuhan_brigadir, terkait, jaksel, duren, sidang, keterangan, polisi, jakarta, hendra_kurniawan, mulia","['tujuh', 'remaja', 'pelaku', 'pemerkosaan', 'berusia', 'kraksan', 'probolinggo', 'ditangkap', 'pemerkosaan', 'korban', 'berstatus', 'siswi', 'sma', 'bergilir', 'ketujuh', 'pelaku', 'mka', 'mys', 'afr', 'pelaku', 'warga', 'gading', 'probolinggo', 'pemerkosaan', 'menyedot', 'perhatian', 'proses', 'penangkapannya', 'terekam', 'kamera', 'beredar', 'rekaman', 'beredar', 'menjemput', 'pelaku', 'langsung', 'rumah', 'fakta', 'fakta', 'pemerkosaan', 'korban', 'pelaku', 'kenal', 'kapolres', 'probolinggo', 'akbp', 'teuku', 'arsya', 'khadafi', 'pemerkosaan', 'pelaku', 'berinisial', 'berkenalan', 'korban', 'seminggu', 'berkenalan', 'sepakat', 'bertemu', 'malam', 'korban', 'diajak', 'hutan', 'malabar', 'nogosaren', 'gading', 'pelaku', 'pesta', 'miras', 'teman', 'arsya', 'korban', 'diajak', 'hutan', 'pesta', 'miras', 'ketakutan', 'pulang', 'tersangka', 'teman', 'temannya', 'memaksa', 'korban', 'menegak', 'miras', 'korban', 'pelaku', 'mencekoki', 'tersangka', 'mencekoki', 'korban', 'mabuk', 'mabuk', 'korban', 'dibawa', 'sepi', 'korban', 'diperkosa', 'bergantian', 'pelaku', 'perbuatan', 'pelaku', 'diadukan', 'tuanya', 'terima', 'tua', 'korban', 'dilaporkan', 'polisi', 'mengantongi', 'pelaku', 'dijemput', 'ditangkap', 'rumahnya', 'laporan', 'keluarga', 'korban', 'ditindaklanjuti', 'polisi', 'pelaku', 'rumahnya', 'kecamatana', 'gading', 'penangkapan', 'viral', 'terekam', 'kamera', 'amatir', 'berdurasi', 'keluarga', 'pelaku', 'menangis', 'histeris', 'tersangka', 'dijemput', 'diangkut', 'mobil', 'patroli', 'polisi', 'ketujuh', 'tersangka', 'dihadirkan', 'press', 'release', 'polres', 'probolinggo', 'tersangka', 'tertunduk', 'lesu', 'menyesali', 'perbuatan', 'asusilanya', 'pelaku', 'dijerat', 'nomor', 'perubahan', 'nomor', 'perlindungan', 'umur', 'ancaman', 'hukumannya', 'penjara', 'ditetapkan_tersangka', 'media_sosial', 'media_sosial', 'media_sosial', 'barang_bukti', 'polisi_menangkap']","['sederet', 'fakta', 'siswi', 'sma', 'probolinggo', 'diperkosa', 'remaja']"
9,9,2,0.8248,"hakim, sambo, saudara, jaksa, arif, yosua, terdakwa, pembunuhan, ferdy_sambo, saksi, agus, chuck, polri, hendra, cctv, perintah, mengaku, yosua_hutabarat, irfan, pembunuhan_brigadir, terkait, jaksel, duren, sidang, keterangan, polisi, jakarta, hendra_kurniawan, mulia","['diancam', 'benda', 'senpi', 'perampok', 'menyatroni', 'ponsel', 'pribadi', 'walkot', 'dibawa', 'pelaku', 'kapolres', 'argowiyono', 'menyebut', 'pelaku', 'disinyalir', 'senpi', 'air', 'soft', 'gun', 'senpi', 'korek', 'api', 'dijual', 'senpi', 'ancaman', 'langsung', 'diikat', 'petugas', 'jaga', 'mata', 'mulut', 'ditutup', 'kapolres', 'argowiyono', 'wartawan', 'ponsel', 'pribadi', 'milik', 'raib', 'ponsel', 'dibawa', 'kabur', 'pelaku', 'aksi', 'perampokan', 'ponsel', 'disimpan', 'tas', 'milik', 'iya', 'ponselnya', 'diambil', 'tas', 'tasnya', 'diambil', 'argo', 'menyebut', 'ponsel', 'diambil', 'pelaku', 'ponsel', 'milik', 'pribadi', 'santoso', 'pelaku', 'diduga', 'mengambil', 'ponsel', 'bersamaan', 'uang', 'cash', 'ponsel', 'tas', 'arga', 'mengalami', 'ancaman', 'ancaman', 'verbal', 'non', 'verbal', 'pelaku', 'mengancam', 'iya', 'ancaman', 'verbal', 'melukai', 'senjata', 'imbuhnya', 'tim', 'gabungan', 'reksrim', 'tim', 'inafis', 'rumdin', 'blitar', 'penyelidikan', 'proses', 'berlanjut', 'dilanjutkan', 'dipimpin', 'langsung', 'dirkrimum', 'kabid', 'labfor', 'sesuai', 'atensi', 'pimpinan', 'kapolda', 'wali_blitar', 'rumah_dinasnya', 'blitar_akbp', 'blitar_akbp', 'wali_blitar', 'wali_blitar', 'wali_blitar', 'wali_blitar', 'sang_istri', 'wali_blitar', 'senjata_tajam', 'senjata_tajam', 'polda_jatim', 'wali_blitar', 'olah_tkp', 'olah_tkp']","['update', 'wali', 'blitar', 'diancam', 'benda', 'senpi', 'dibawa', 'perampok']"
