,new_kec,old_kec,new_kab,old_kab,new_prov,old_prov,berita
0,-,-,-,-,-,-,"\- Saat gempa bumi terjadi, tanah dan apa saja yang berada di atasnya akan
berguncang.

Bergantung kekuatannya, guncangan tersebut dapat menimbulkan kerusakan kecil
hingga sangat parah.

Lantas, bagaimana proses terjadinya gempa bumi hingga menimbulkan guncangan di
permukaan tanah?

## Proses terjadinya gempa bumi

Sebagian besar patahan di kerak bumi tidak bergerak untuk waktu yang lama.

Namun, seiring waktu, batuan di kedua sisi patahan perlahan akan berubah
bentuk akibat adanya gaya tektonik.

Gempa bumi biasanya terjadi ketika batuan bawah tanah tiba-tiba pecah dan
terjadi gerakan cepat di sepanjang patahan, sebagaimana dikutip dari _Michigan
Tech._

Pelepasan energi secara tiba-tiba yang menyebabkan terjadinya gempa bumi juga
akan menimbulkan gelombang seismik yang membuat permukaan tanah bergetar.

Selama dan setelah gempa bumi terjadi, lempengan patahan akan bergerak dan
terus bergerak hingga kembali macet dan gerakannya pun terhenti.

## Bagaimana cara mengetahui kekuatan gempa bumi?

Gempa bumi direkam dengan alat yang disebut seismograf, sedangkan rekaman
gempa bumi yang dibuat alat tersebut disebut seismogram.

Seismograf memiliki alas yang tertanam kuat di tanah dan beban berat yang
menggantung bebas.

Dilansir dari _U.S Geological Survey_ , saat gempa bumi terjadi dan
menyebabkan tanah bergetar, dasar seismograf juga ikut bergetar, tetapi beban
yang menggantung tidak bergetar.

Sementara itu, pegas atau tali yang digantungnya menyerap semua gerakan.

Perbedaan posisi antara bagian seismograf yang bergetar dan bagian yang tidak
bergerak itulah yang menjadi rekaman kekuatan gempa bumi.

 "
1,mampang prapatan,-,jakarta selatan,jakarta selatan,dki jakarta,dki jakarta,"\- Kebakaran melanda rumah tinggal Jalan Bangka Buntu I RT 05 RW 07 Kelurahan
Bangka, Kecamatan Mampang Prapatan, Jakarta Selatan, Senin (26/12/2022) malam.

Perwira piket Suku Dinas Penanggulangan Kebakaran dan Penyelamatan Jakarta
Selatan, Moch Arief mengatakan, kebakaran dilaporkan warga terjadi sekitar
pukul 20.05 WIB.

""Terima berita sekitar pukul 20.05 WIB. Sumber warga, Ibu Nike,"" ujar Arief
saat dikonfirmasi, Senin.

Arief mengatakan, tiga unit mobil pemadam dikerahkan untuk memadamkan api.
Adapun saat petugas masih berjibaku.

""Saat ini masih proses pemadaman,"" kata Arief.

Hingga kini belum diketahui kemunculan api yang menjadi penyebab kebakaran
rumah warga tersebut.

Adapun petugas pemadam yang berada di lokasi juga belum bisa memastikan ada
atau tidaknya korban akibat kebakaran tersebut.

 "
2,cugenang,-,cianjur,cianjur,jawa barat,jawa barat,"\- Tim SAR (search and rescue) masih terus melakukan pencarian para korban
gempa bumi di Kabupaten Cianjur, Jawa Barat, hingga Minggu (27/11/2022).

Beberapa korban gempa di Cianjur tertimbun tanah longsor sehingga upaya
pencarian perlu dilakukan dengan maksimal.

Untuk menemukan lokasi korban yang tertimbun tanah longsor, tim SAR pun
memiliki strategi khusus.

Nardi, salah satu anggota tim SAR mengungkapkan, hal pertama yang harus diasah
untuk menemukan keberadaan korban adalah mengoptimalkan indra penciuman.

""Pertama dengan bau, baunya beda. Bau jenazah,"" kata Nardi di Desa Cijedil,
Cugenang, Kabupaten Cianjur, Jawa Barat, Sabtu (26/11/2022), dikutip dari
_Tribun Jabar._

Menurut Nardi, korban yang sudah berhari-hari meninggal dunia biasanya lebih
mudah ditemukan.

Setelah menemukan titik lokasi jasad korban tertimbun, gundukan tanah harus
terlebih dahulu disemprot air karena kondisi tanah yang sudah mulai mengeras.

""Terus kita semprotkan air, terus kita ke dalam lumpur. Terus terlihat tangan
dahulu,"" ucapnya.

Nardi menceritakan proses pengangkatan jenazah seorang wanita pada Sabtu
(26/11/2022).

Proses pengangkatan jasad korban cukup menyulitkan karena posisinya yang
berada di jurang.

Alhasil, jenazah tersebut harus diikatkan ke tali dan diangkat secara perlahan
karena kondisi tubuhnya yang sudah tidak baik lagi.

""Prosesnya penarikan dengan menggunakan webbing. Lokasi korban sudah tertimbun
longsor. Takut lepas tangan atau bagian tubuh lainnya. Pelan-pelan dibantu
dengan menggunakan webbing,"" tuturnya.

## Jumlah korban gempa Cianjur

Menurut data Badan Nasional Penanggulangan Bencana (BNPB), korban meninggal
dunia akibat gempa Cianjur mencapai 318 orang per Sabtu (26/11/2022) malam.

Kemudian, total korban luka-luka akibat gempa Cianjur bertambah menjadi 7.729
orang, dengan rincian korban luka berat 545 orang dan luka ringan 7.134 orang.

Saat ini, korban luka berat yang masih dirawat berjumlah 108 orang, sedangkan
korban luka ringan yang sudah dirawat sudah kembali ke rumah masing-masing.

Sementara itu, jumlah warga yang masih bertahan di pengungsian berjumlah
73.693 orang.

 "
3,bantargadung,cibadak,sukabumi,lebak,jawa barat,banten,"Hujan deras yang mengguyur wilayah Sukabumi selama beberapa jam membuat ruas
jalan nasional Cibadak-Palabuhanratu di Kampung Cikananga, Desa Tonjong,
Kecamatan Palabuhanratu, Sukabumi, Jawa Barat tertimbun longsor, Senin
(12/12/2022) sekitar pukul 21.30 WIB.

Akibatnya arus lalu lintas dari kedua arah macet total, antrean kendaraan
diperkiraan mencapai 5 kilometer.

Hingga Selasa (13/12/2022) pukul 6.30 WIB kendaraan masih belum bisa bergerak.

""Saya sudah lebih sembilan jam diam, mobil tidak bisa bergerak macet. Ada
jalan yang tertimbun longsor,"" ungkap seorang warga Herman Meenk (40) warga
Palabuhanratu saat dikonfirmasi Kompas.com melalui pesan whats app, Selasa
pagi.

Herman menuturkan Senin malam rencananya akan pulang menuju Palabuhanratu dari
Sukabumi. Namun akhirnya Selasa pagi dia memutuskan kembali ke arah Sukabumi.

""Ekor kendaraan ke arah Palabuhanratu hingga Linggamanik Bantargadung,"" tutur
pimpinan perusahaan MagnetIndonesia.co itu.

Sementara Suhendi (30) mengatakan, antrean kendaraan dari arah Palabuhanratu
hingga lokasi longsor mencapai sekitar 5 kilometer. Bahkan jenis kendaraan
truk yang mengangkut barang berhenti di sekitar Desa Citarik.

""Ekor kendaraan hingga sekitar Kampung Nyalindung yang waktu itu lokasi
bencana gerakan tanah,"" kata Suhendi.

## Akses jalan belum bia dilalui

Koordinator Pusat Pengendalian Operasi Badan Penanggulangan Bencana Daerah
(Pusdalops BPBD) Kabupaten Sukabumi Daeng Sutisna mengatakan, longsor terjadi
di ruas jalan Cibadak-Palabuhanratu tepatnya di Kampung Cikananga Desa
Tonjong, Kecamatan Palabuhanratu.

""Akses jalan raya tertutup material longsoran dengan panjang 20 meter, lebar
25 meter dan belum bisa dilalui oleh kendaraan roda empat maupun roda dua,""
kata Daeng melalui keterangan tertulis diterima Kompas.com Selasa pagi.

Menurut Daeng bencana tanah longsor menimbun jalan raya dampak hujan dengan
intensitas deras yang berlangsung Selasa siang hingga malam. Hujan mengguyur
wilayah Sukabumi beberapa jam.

""Tidak ada korban luka maupun jiwa dalam peristiwa ini,"" ujar dia.

Sejak semalam, lanjut Daeng, penanganan sudah dilaksanakan gabungan, di
antaranya Petugas Penanggulangan Bencana Kecamatan (P2BK) Bantargadung,
Palabuhanratu dan tim BPBD, jajaran Polres Sukabumi, Kodim 0622, Kecamatan
Palabuhanratu dan Bantargadung serta masyarakat.

 "
4,tebet,tebet,jakarta selatan,jakarta selatan,dki jakarta,dki jakarta,"\- Kebakaran melanda 25 unit rumah kontrakan di Jalan Manggarai Utara II,
Kelurahan Manggarai, Kecamatan Tebet, Jakarta Selatan, pada Sabtu (17/12/2022)
sore.

Kebakaran ini disebut disebabkan oleh petir yang menyambar meteran listrik.

Sekitar 53 kepala keluarga (KK) yang terdiri dari 230 jiwa diungsikan ke
beberapa lokasi, seperti gedung karang taruna setempat, masjid SMPN 3 Jakarta,
hingga mengungsi ke rumah kerabat masing-masing.

Para warga yang menjadi korban kebakaran disebut telah menerima bantuan dari
berbagai instansi.

## Meteran listrik tersambar petir

Warga sekaligus saksi mata, Siti Nafisah (53), menyebutkan bahwa kebakaran ini
bermula saat hujan deras disertai angin kencang terjadi sekitar pukul 15.00
WIB.

Karena kondisi cuaca itu, Siti bersama suaminya lalu mengecek kontrakan
miliknya yang berada persis di belakang rumah mereka.

""Kami keluar ke belakang, ke kontrakan-kontrakan, takut ada yang bocor karena
angin kencang semua pada terbang,"" sebut Siti saat ditemui di Jalan Manggarai
Utara II, Minggu (18/12/2022).

Saat hendak mengecek kontrakan, Siti melihat petir menyambar meteran listrik.
Suara sambaran yang kencang membuatnya mengucap istigfar.

""Pas saya lagi di belakang, petir _nyamber_ kilometer, itu yang listrik
(meteran listrik). Saya kan kaget, langsung _astaghfirullahaladzim_ ,"" tutur
Siti.

Saat itu, Siti mencium bau hangus. Ia langsung mengecek kondisi rumahnya. Siti
mengaku melihat asap ketika berada di lantai dua rumahnya.

Namun, saat itu belum ada kobaran api yang muncul.

Saat turun ke lantai satu rumahnya, Siti melihat asap itu muncul dari arah
belakang kediamannya.

Ia tak sempat membawa barang berharga miliknya, termasuk dua sepeda motor yang
terparkir di dekat rumahnya.

Sementara itu, pada kesempatan terpisah, Ketua RT 011 RW 001 Kelurahan
Manggarai Warsono menuturkan, kebakaran di wilayahnya terjadi karena
korsleting.

Kebakaran mulanya hanya melanda satu rumah. Karena angin kencang, kebakaran
merembet ke rumah lainnya.

Berbeda dengan yang disampaikan Siti, Warsono menyebutkan petir menyambar
antena televisi di rumah salah satu warga di sana.

""Awalnya itu _nyamber_ antena televisi. Jadi fatalnya di situ, dari petir.
Suaranya meleduk begitu, _duarr_ , suaranya besar,"" tutur Warsono.

## Selamatkan surat-surat berharga

![Suasana sederet rumah kontrakan di Jalan Manggarai Utara II, RT11/RW01,
Kecamatan Tebet, Jakarta Selatan, pada Minggu
\(18/12/2022\).](https://asset.kompas.com/crops/10xiCjZpy-
K_z2DMtvhPKLzb1WU=/0x0:0x0/750x500/data/photo/2022/12/18/639e8c0a98fea.jpg)KOMPAS.com/MUHAMMAD
NAUFAL Suasana sederet rumah kontrakan di Jalan Manggarai Utara II, RT11/RW01,
Kecamatan Tebet, Jakarta Selatan, pada Minggu (18/12/2022).

Diah (52) merupakan salah satu warga Jalan Manggarai Utara II yang menjadi
korban kebakaran.

Diah bercerita, pada akhir pekan, dia sejatinya jarang berada di rumah
kontrakannya tersebut.

Di kontrakan berukuran 3x3 meter, Sabtu lalu, Diah menghabiskan waktu bersama
putra bungsunya yang berusia 14 tahun.

Diah mengaku, usai shalat ashar, putra bungsunya meminta pergi dari kontrakan
itu.

""Anakku sempat ngomong memang, 'Mah, pindah Bekasi yuk, kayaknya suasananya
enggak enak. Hawanya Jakarta sudah panas',"" ucap Diah menirukan perkataan sang
anak.

Tidak begitu lama, suara sambaran petir terdengar hingga kontrakannya yang
berada di lantai dua.

Dalam hitungan detik, tetangga-tetangga Diah berteriak bahwa kebakaran telah
terjadi.

Ia tidak langsung keluar dari kontrakannya. Saat itu juga, Diah memikirkan
barang yang bisa dibawa. Dia lalu meraih surat-surat berharga yang terletak di
sebuah tas.

Karena api menyambar dengan cepat, ia tidak kepikiran untuk menyelamatkan
barang-barang lainnya.

Diah menuturkan, barang-barangnya yang terbakar berupa perabotan, barang
dapur, dan pakaian.

Surat-surat berharga yang dibawa adalah ijazah sekolah Diah dan anak-anaknya.

""Yang selamat cuma surat-surat penting, sudah enggak ada lagi sisanya,"" ucap
Diah.

Minggu kemarin, Diah bersama putra bungsunya mengungsi di tempat pengungsian.

## Merasa ikhlas dan sabar

Meski kediamannya hangus, Diah mengaku merasa bersyukur bisa beristirahat di
tempat pengungsian.

Bersama anak bungsunya, Diah merasa nyaman tidur di tempat pengungsian yang
berada di gedung karang taruna setempat.

Ibu tiga anak ini menilai, musibah yang menimpanya merupakan perjalanan hidup
yang sebenarnya.

Diah pun mengaku tak bisa menuntut siapa pun atas kehilangan barang-barang
berharganya. Sebab, menurut dia, semua barang miliknya adalah milik Allah.

""Enggak bisa _nuntut_ juga karena semua punya Allah. Sekalipun itu hilangnya
karena manusia, tetap enggak bisa,"" ucap dia.

""Kalau manusia (yang menghilangkan), kita bisa sakit hati, tapi tetap tidak
bisa. Allah mengizinkan itu diambil oleh orang. Tapi, kalau hilangnya
kebakaran atau kebanjiran, itu sudah kehendak Allah,"" lanjut dia.

Menurut Diah, ada dua hal penting yang dapat diambil hikmahnya dari musibah
ini, yakni kesabaran dan keikhlasan.

Ia meyakini bahwa barang-barangnya yang hangus terbakar bakal tergantikan.

""Yang penting satu, kesabaran dan keikhlasan, yakin kok Allah akan
menggantikan,"" kata Diah.

## Bantuan telah dikirimkan

Sementara itu, Ketua RW 001 Kelurahan Manggarai Prihatin Budi Santoso
menuturkan, sejumlah instansi pemerintah telah mengirimkan bantuan untuk
korban kebakaran itu.

Menurut Prihatin, selain instansi pemerintah, warga sekitar yang tak terdampak
juga memberikan bantuan.

""Bantuan alhamdulillah dari TNI, BPBD (DKI Jakarta), Baznas, Kementerian
Sosial (Kemensos), semua turun,"" tutur Prihatin di Kantor Sekretariat RW 001
Manggarai.

Prihatin menyatakan, Kemensos memberikan bantuan berupa makanan sebanyak tiga
kali sehari. Menurut Prihatin, ada 250 boks setiap pengiriman.

Kemudian, BPBD DKI Jakarta disebut telah mengirimkan alas tidur dan
seperangkat alat mandi seperti handuk dan sabun.

""Kalau baju dan celana yang layak pakai rata-rata dari warga sekitar saja,""
kata Prihatin.

Dalam kesempatan itu, Prihatin mengaku belum mengetahui hingga kapan bantuan
bakal dikirimkan.

Namun, setahu dia, tanggap darurat pengiriman bantuan berlangsung selama tujuh
hari sejak peristiwa terjadi.

## Bantuan anak belum tersalurkan

Di satu sisi, bantuan khusus anak sekolah yang menjadi korban kebakaran belum
tersalurkan hingga Minggu kemarin.

BPBD DKI Jakarta, kata Prihatin, telah meminta perangkat RW untuk mendata
jumlah anak-anak yang masih sekolah, mulai dari SD hingga SMA.

Pendataan dilakukan agar mereka yang terdampak peristiwa kebakaran di Jalan
Manggarai Utara II ini dapat segera diberi bantuan khusus.

Ia mengakui bahwa beberapa warga yang menjadi korban kebakaran memang masih
memiliki anak-anak yang berusia sekolah.

Menurut Prihatin, jumlah anak yang bersekolah diperkirakan sekitar 25 orang.

""Usia sekolah ada. SD ada, SMP ada, SMA ada. Jumlahnya enggak banyak,
(sekitar) 20-25 siswa,"" tutur dia.

Sementara itu, Prihatin mengaku ada juga korban yang berusia lanjut (lanjut
usia/lansia).

Namun, menurut dia, tidak ada kebutuhan khusus yang diperlukan para korban
lansia. Sebab, jumlah mereka yang tergolong sedikit.

 "
5,leuwiliang,-,bogor,bogor,jawa barat,jawa barat," \- Badan Penanggulangan Bencana Daerah (BPBD) Kabupaten Bogor, Jawa Barat,
mencatat sebanyak 18 bangunan rusak akibat peristiwa  di Kecamatan Ciampea,
Bogor.

Kabid Kedaruratan dan Logistik BPBD Kabupaten Bogor, Aris Nurjatmiko di Bogor,
Senin, 5 Desember 2022, menyatakan bahwa 18 bangunan yang rusak itu terdiri
dari 16 rumah warga, satu villa, dan satu kolam pancing.

""Kemarin, hari Minggu (5/12) telah dilaksanakan peninjauan di beberapa titik
lokasi yang terdampak akibat intensitas curah hujan cukup tinggi disertai
angin kencang atau puting beliung,"" kata Aris.

Belasan bangunan yang mengalami kerusakan tersebut, kata dia, tidak
menyebabkan korban jiwa. Namun, hingga kini pihaknya masih melakukan
penghitungan terhadap jumlah kerugian material dampak angin puting beliung.

""Hanya kerugian material dari bangunan-bangunan yang rusak. Kerugian material,
masih dalam asessment, sementara belum bisa diperkirakan,"" ujar Aris.

Bencana angin puting beliung yang terjadi di Desa Tegalwaru dan Desa Cibanteng
itu, kata dia, juga menyebabkan dua pohon tumbang. Satu di antaranya
mengakibatkan akses jalan terputus sementara di Kampung Cikarawang, Desa
Tegalwaru.

Aris menjelaskan, petugas BPBD bersama Pemerintah Desa, Bhabinkamtibmas,
Babinsa, dan masyarakat sekitar membantu upaya penanganan dengan cara
bergotong-royong untuk evakuasi bangunan-bangunan rusak dan pohon tumbang yang
menghalangi jalan.

Khusus penanganan pohon tumbang di Desa Cibanteng, BPBD berkoordinasi dengan
PLN Unit Layanan Pelanggan (ULP) Leuwiliang. Karena, batang pohon yang tumbang
di bahu Jalan Raya Cinangneng tersangkut kabel dan menimpa tiang listrik.

""Melakukan evakuasi sementara dengan cara menebang pohon tersebut. kemudian
dilakukan penanganan tiang listrik yang terkena oleh pohon tumbang tersebut
oleh pihak ,"" paparnya.

 "
6,ciawi,-,bogor,tasikmalaya,jawa barat,jawa barat,"\- Pemadaman api di lokasi kebakaran Pasar Ciawi Kabupaten Tasikmalaya, Jawa
Barat, butuh waktu sampai 4,5 jam sampai pukul 20.00 WIB, Minggu (18/12/2022).

Kobaran api sejak 15.30 WIB itu dipadamkan oleh gabungan petugas Pemadam
Kebakaran (Damkar) lintas daerah.

Mulai dari mobil Damkar asal Kabupaten Tasikmalaya, Ciamis, Kota Tasikmalaya,
dan Kabupaten Sumedang, memadamkan api yang melalap seluruh kios di Blok C
pasar itu.

Kepala Dinas Koperasi UMKM, Perindustrian dan Perdagangan Kabupaten
Tasikmalaya, Iwan Ridwan menyatakan, sesuai hasil pendataan sebanyak 158 kios
di pasar itu hangus terbakar tidak bersisa.

""Sesuai pencatatan kami sebanyak 158 kios pedagang di Blok C Pasar Ciawi.
Kalau blok lainnya di pasar itu tak ada yang terbakar akibat rembetan api,""
jelas Iwan kepada wartawan, Minggu malam.

Ratusan kios yang berada di blok C ludes terbakar itu kebanyakan diisi para
pedagang kelontongan, pakaian dan kasur.

Sampai saat ini penyebab kebakaran masih belum bisa dipastikan dan masih
proses penyelidikan Kepolisian.

Penyebab kebakaran masih belum diketahui dan itu ranahnya ada di Kepolisian.
Kita masih menunggu proses penyelidikan dari pihak Kepolisian dan petugas
pemadam kebakaran, kata Iwan.

Sejatinya, bangunan kios Blok C Pasar Ciawi itu adalah bangunan baru usai
pembangunan kecelakaan kebakaran pada 15 Agustus 2021.

Sebetulnya kami sedang evaluasi pasar-pasar untuk direvitalisasi, nanti
prosesnya seperti apa. Untuk pedagang yang kiosnya terbakar, nanti kita
tempatkan di kios darurat, ujarnya.

Sebelumnya, Pasar Ciawi Kabupaten Tasikmalaya, Jawa Barat, kembali kebakaran
diduga akibat korsleting listrik, Minggu (18/12/2022) sore.

Ratusan kios pedagang di Blok C komplek perdagangan terbesar Tasikmalaya Utara
tersebut ludes terbakar dilalap api.

Pasar ini pun pernah terbakar setahun lalu yang membakar ratusan kios.

Kepala Bagian Operasi Polresta Tasikmalaya, Kompol Shohet, membenarkan
kejadian kebakaran di pasar itu dan sampai sekarang sedang proses pemadaman
oleh petugas Damkar, Polisi, TNI, BPBD dibantu warga sekitar.

""Iya, benar Pasar Ciawi (Kabupaten Tasikmalaya) kebakaran tadi sekitar pukul
15.30 WIB. Dugaan sementara api berasal dari korsleting listrik. Diperkirakan
ada 200 kios yang terbakar di Blok C,"" jelas Shohet kepada wartawan lewat
telepon, Minggu sore.

 "
7,-,-,bangka,-,bangka belitung,-,"Seorang warga lanjut usia (lansia) tewas dalam peristiwa kebakaran rumah di
Jalan Subur, Rangkuih, Kota Pangkalpinang, Kepulauan Bangka Belitung, Minggu
(18/12/2022) sekitar 20.00 WIB.

Korban bernama Aji Siat (92 tahun) ditemukan meninggal setelah api berhasil
dipadamkan.

Kepala Badan Penanggulangan Bencana Daerah (BPBD) Bangka Belitung Mikron
Antariksa membenarkan adanya peristiwa kebakaran yang menyebabkan satu warga
penghuni rumah meninggal.

""Dugaan korsleting listrik,"" kata Mikron saat dikonfirmasi, Minggu malam.

Api dengan cepat menghanguskan bangunan rumah yang sebagian besar berbahan
kayu.

Sejumlah mobil pemadam kebakaran dikerahkan untuk melakukan pemadaman. Kobaran
api berhasil dipadamkan sekitar pukul 21.00 WIB.

""Sejauh ini hanya satu rumah terdampak,"" ujar Mikron.

Petugas damkar dibantu warga masih berada di lokasi untuk melakukan
pendinginan area. Sementara korban sudah dievakuasi ke rumah sakit setempat.

""Kerugian material masih didata petugas,"" ucap Mikron.

BPBD Bangka Belitung mengimbau warga untuk berhati-hati saat di dalam rumah,
khususnya yang dihuni lansia atau anak-anak.

Warga juga diharapkan memperbarui instalasi listrik jika sudah terlalu lama
dipakai.

 "
8,jatiasih,-,bekasi,bekasi,jawa barat,jawa barat,"\- Satu unit tempat tinggal semipermanen yang dijadikan sebagai lapak pedagang
barang bekas di Jalan Swastantra, Kelurahan Jatirasa, Jatiasih, Kota Bekasi,
habis dilalap api pada Kamis (15/12/2022) pukul 15.40 WIB.

Kepala Dinas Pemadam Kebakaran Kota Bekasi Aceng Solahuddin mengatakan, api
diduga berasal dari korsleting kipas angin.

""Menurut keterangan warga di sekitar lingkungan, diduga api berasal dari
percikan api aliran listrik kipas angin,"" kata Aceng dalam keterangannya,
Kamis.

Percikan api kemudian menyambar barang yang mudah terbakar sehingga api
membesar.

Aceng menyebutkan, petugas pemadam yang mendapat laporan kebakaran langsung
berangkat ke lokasi dan tiba di tempat kejadian pukul 15.45 WIB.

""Petugas turut menerjunkan total tujuh unit mobil pemadam guna proses pemadam
api,"" ujar Aceng.

Setelah berjibaku selama kurang lebih satu jam, petugas berhasil menjinakkan
api, tepatnya pada pukul 16.20 WIB.

Aceng memastikan tidak ada korban jiwa dan korban luka dalam musibah kebakaran
itu. Sementara itu, total kerugian ditaksir mencapai puluhan juta rupiah.

""Tempat tinggal semipermanen rusak berat dengan total kerugian ditaksir Rp 50
juta,"" pungkas Aceng.

 "
9,curug,curug,serang,tangerang,banten,banten,"\- Sebanyak tiga unit mobil pemadam kebakaran (damkar) dan 19 personel
dikerahkan dalam kebakaran di PT Thiatsu, kawasan Turbin, Kecamatan Curug,
Kabupaten Tangerang, Banten.

Kabid Kedaruratan dan logistik BPBD Kabupaten Tangerang Abdul Munir
mengatakan, peristiwa itu terjadi pada Minggu (18/12/2022) pukul 18.32 WIB.

""Kami dapat laporan kebakaran perusahaan di kawasan Turbin Curug pada pukul
18.30 WIB. Laporan yang masuk, kebakaran api sudah besar, kami langsung ke
lokasi kebakaran, "" kata Munir dalam keterangannya, Senin (19/12/2022).

""Petugas yang kami turunkan yaitu dari Mako Curug 9 personel, Pos Tigaraksa 5
personel, Pos Kelapa Dua 5 personel, dan jumlah seluruhnya 19 personel dan 3
unit mobil damkar,"" lanjut dia.

Setibanya di lokasi, tim damkar kemudian bergegas memadamkan api. Api diduga
berasal dari gangguan listrik. Pasalnya, tidak ada aktivitas di dalam pabrik
saat insiden itu terjadi.

Munir menyebutkan, seluruh karyawan pabrik sudah kembali ke rumah masing-
masing mengingat jam operasional perusahaan sudah berakhir pada hari tersebut.

Selang beberapa jam kemudian, api berhasil dipadamkan. Munir memastikan, tidak
ada korban jiwa dalam kebakaran.

Kendati demikian, belum diketahui berapa kerugian yang dialami pihak
perusahaan.

 "
