,new_kec,old_kec,new_kab,old_kab,new_prov,old_prov,berita
2005,-,-,jayapura,jayapura,papua,papua,"\- Guna memperkenalkan pelayanan sosial berupa asuransi bagi prajurit TNI dan
Polri, PT Asabri (Persero) mewajibkan karyawan memberikan sumbangan berupa
pakaian layak pakai kepada warga di Jayapura, Papua.

Selain pemberian pakaian layak pakai diadakan pula bazar UMKM.

Acara yang dihelat di GOR Cenderawasih Kota Jayapura itu juga memperkenalkan
PT Pertamina (Persero).

""Keikutsertaan ASABRI dalam kegiatan tersebut merupakan wujud implementasi
penerapan core values, AKHLAK dan agar masyarakat Kota Jayapura dapat lebih
mengenal tentang ASABRI sebagai salah satu BUMN yang memberikan pelayanan
asuransi sosial bagi Prajurit TNI, Anggota Polri, dan ASN di lingkungan Kemhan
dan Polri serta masyarakat,"" ujar Pjs Kepala Kantor Cabang ASABRI Jayapura
Charlis Belson dalam pernyataannya yang diterima _Tribun_ , Sabtu
(24/12/2022).

Acara yang diikuti oleh sekitar 20 BUMN dan BUMD yang berada di Kota Jayapura
ini menyuguhkan pameran para UMKM Binaan BUMN dan BUMD di Bumi Cenderawasih
serta penyerahan bantuan tali asih BUMN kepada masyarakat sekitar.

Acara diawali oleh sambutan dari Kepala Dinas Tenaga Kerja Kota Jayapura Djoni
Naa, S.E.,M.Si yang hadir mewakili Walikota Jayapura.

Pada kesempatan tersebut Djoni berpesan kepada seluruh BUMN dan BUMD yang
berada di Tanah Papua bahwa dengan keberadaan BUMN dan BUMD yang ada di Tanah
Papua ini diharapkan dapat berkontribusi terhadap salah satu visi dan misi
Kota Jayapura, yaitu peningkatan angka penyerapan tenaga kerja khususnya
putra-putri asli Papua.

Acara dilanjutkan dengan sambutan Executive General Manager PT Pertamina Patra
Niaga Region Papua dan Maluku I Ketut Permadi Aryakumara.

Dalam sambutannya, I Ketut Permadi mengharapkan bahwa selain menjadi ajang
untuk mengenal sesama BUMN, diharapkan juga menjadi sinergi antara BUMN, BUMD,
pemerintah, dan instansi terkait.

""Kolaborasi Untuk Indonesia menjadi tagline acara ini, agar kami dapat lebih
mendekatkan diri dengan masyarakat Papua. Acara ini juga menjadi ajang untuk
memperkenalkan produk dan layanan UMKM binaan BUMN,"" ujar I Ketut Permadi.

Kantor Cabang ASABRI Jayapura juga menghadirkan dua UMKM Binaan Kantor Cabang
ASABRI Jayapura yaitu UMKM Keripik Ria dan Embun Yamua yang menjual aneka
macam keripik dan kuliner olah berbahan dasar ubi.

 "
2006,-,-,-,yogyakarta,di yogyakarta,di yogyakarta," Pemberdayaan wilayah pedesaan menjadi isu yang perlu diperhatikan mengingat
perkembangan desa di Indonesia yang relatif belum merata. Berdasarkan kondisi
tersebut, sejak tahun 2020, BRI hadir dan turut serta mendukung peningkatan
kapasitas desa melalui program .

Program  merupakan program inkubasi desa yang bertujuan menghasilkan role
model dalam pengembangan desa, lewat implementasi praktik kepemimpinan desa
yang unggul serta semangat kolaborasi untuk mengoptimalkan potensi desa
berbasis Sustainable Development Goals (SDGs).

Diharapkan menjadi sumber inspirasi kemajuan desa yang dapat diterapkan ke
desa-desa lainnya, Program  ini telah diikuti oleh 2.182 desa yang aktif
tergerak berinisiatif dan berkomitmen untuk maju.

Bank BRI, dalam rangka memberikan apresiasi bagi desa-desa yang aktif bergerak
melalui program , sedang menyelenggarakan puncak acara program DESA
BRILIAN dengan tajuk Nugraha Karya Desa Brilian 2022.

Dipandu oleh dua host ternama yaitu Astrid Tiar dan Indra Herlambang, malam
puncak Nugraha Karya Desa Brilian diselenggarakan pada Kamis (22/12/2022)
dengan 2 format penyelenggaraan yakni Bincang Desa Brilian dan Malam Puncak
Nugraha Karya Desa Brilian 2022.

Bincang Desa Brilian yang akan diselenggarakan di Hotel Shangri-La Jakarta,
akan mendalami topik-topik pengembangan desa bersama para pakar dan narasumber
dari berbagai perspektif. Sehingga diharapkan memberikan inspirasi serta mampu
memotivasi seluruh stakeholder untuk meningkatkan perekonomian dari desa.

Juga ada diskusi bersama perwakilan pemangku desa, mulai dari bagaimana kisah
desa-desa Brilian mampu tanggap, tangguh dan inovatif dalam menggerakan roda
perekonomian Desa melalui kepemimpinan yang kuat, hinga semangat Transformasi
Desa melalui Sinergi Inovasi dan Digitalisasi.

Sementara itu, untuk Malam Puncak Nugraha Karya Desa Brilian 2022, yang
diadakan Menara BRILian Jakarta, juga dimeriahkan oleh penyanyi solo asal
Yogyakarta, Ndarboy Genk yang terkenal lewat lagu Mendung Tanpo Udan.

Dalam puncak perayaan nanti, Ndarboy Genk akan menyanyikan lagu-lagu
andalannya seperti Ambyar Mak Pyar, Aku Sing Duwe Ati, Ojo Nangis, Koyo Jogja
Istimewa dan Full senyum sayang. Tidak hanya itu, para undangan yang hadir
juga akan disuguhkan penampilan stand up comedy dari Cak Lontong.

Sekadar informasi, sesuai Indeks Desa Membangun (IDM) sudah terdapat
peningkatan 16,31 persen dari kategori desa maju ke desa mandiri. Namun,
peningkatan tersebut belum mencapai separuhnya dari total desa sebanyak 73.954
desa.

Berangkat dari data tersebut, sebagai bank yang memang fokus pada segmen usaha
Mikro, Kecil dan Menengah (UMKM), peran BRI tidak terbatas sebagai Financial
Intermediary, tapi juga memiliki fungsi sebagai empowerment atau pemberdayaan.
Baik itu pemberdayaan kepada individu pelaku usaha maupun pemberdayaan lembaga
desa.

Malam Puncak Nugraha Karya Desa Brilian 2022 yang dimeriahkan oleh penyanyi
asal Yogyakarta, Ndarboy Genk dan Komika Cak Lontong ini dapat Anda saksikan
malam ini (22/12/22) di kanal Youtube Bank BRI pada pukul 19.00 WIB.

 "
2007,-,-,bandung,bandung,jawa barat,jawa barat,"Dalam rangka memperingati hari ibu yang jatuh pada 22 Desember, PT Pegadaian
mengadakan pelatihan UMKM khusus kaum perempuan bertajuk Mompreneur! Ibu
Berkarya, Ibu Berdaya yang digelar di kota Bandung, Jawa Barat beberapa waktu
lalu.

Pelatihan ini disambut antusias oleh para pengusaha perempuan. Pasalnya,
mereka mendapat literasi tentang bagaimana mengembangkan ide dan inspirasi
bisnis dari rumah, strategi pemasaran dan branding. Selain itu mereka juga
pencatatan keuangan sederhana dan langkah-langkah mendaftarkan usaha oleh para
ahli di bidangnya. Minat masyarakat Bandung cukup tinggi untuk mengikuti acara
ini, terbukti dari jumlah pendaftar yang melebihi kuota yang disediakan.

Acara yang dihadiri lebih dari 200 pelaku UMKM di kota Bandung ini juga
dihadiri oleh Ibu Yunimar Mulyana, ketua Dekranasda Bandung serta perwakilan
dari Dinas Koperasi dan UMKM kota Bandung.

Hari Ibu menjadi momen bagi kaum perempuan untuk menjadi ibu yang berdaya
(empowering mom). Dengan menambah pengetahuan dan keterampilan khususnya bagi
ibu-ibu pelaku usaha. Kami berharap program ini membantu mereka untuk semakin
berdaya dan berkarya dari rumah. Hal ini sesuai dengan tema hari Ibu 2022 yang
dicanangkan oleh Kementerian Pemberdayaan Perempuan dan perlindungan anak
yaitu Perempuan Berdaya, Indonesia Maju, ujar Elvi Rofiqotul Hidayah,
Direktur Pemasaran dan Pengembangan Produk PT Pegadaian.

Sesuai dengan komitmen yang dijalankan oleh Pegadaian, perusahaan sangat
concern untuk membantu para pelaku UMKM untuk dapat berkembang dan naik kelas.
Komitmen tersebut diwujudkan melalui produk pembiayaan yang dapat
dimanfaatkan, di antaranya seperti Gadai Emas, Gadai Elektronik, Gadai BPKB,
Pinjaman Modal Produktif, dan Pegadaian sebagai agent dari Pemerintah untuk
menyalurkan produk KUR syariah. Bahkan baru-baru ini Pegadaian kembali
memberikan layanan Gadai Peduli, yaitu gadai bebas bunga dengan maksimal dana
pinjaman sebesar Rp 2,5 juta untuk membantu ekonomi bangkit kembali.

Di momen ini, kami juga ingin menyampaikan kepada ibu-ibu pelaku usaha bahwa
tidak perlu khawatir terkait permodalan, karena para pelaku UMKM khusunya para
ibu yang ingin memulai usaha dapat mengubungi Pegadaian, pungkas Elvi.

Hadirnya acara ini juga membuktikan komitmen Pegadaian mendukung Pemerintah
dalam meningkatkan perekonomian salah satunya adalah membantu pelaku UMKM agar
selalu tumbuh dan berkembang. Hal ini sejalan dengan semangat BUMN untuk
Indonesia.

PT Pegadaian juga menghimbau nasabah untuk berhati-hati terhadap penipuan
berkedok hadiah dan lelang online yang mengatasnamakan Pegadaian. Informasi
terkait produk dan promo lebih lanjut dapat diakses melalui website resmi
Pegadaian, akun sosial media @sahabatpegadaian dan @pegadaian_id serta call
center Pegadaian di 1500 569.

 "
2008,surade,-,sukabumi,sukabumi,jawa barat,jawa barat,"Di balik kesuksesan seorang anak, selalu ada cerita mengenai peran seorang ibu
di baliknya. Tanpa mengecilkan peran ayah, perjuangan seorang ibu akan selalu
mendapatkan tempat tersendiri di hati seorang anak.

Salah satu contohnya adalah Ibunda Elon Musk, Maye Musk, yang menjalani peran
sebagai orang tua tunggal. Ia memiliki andil besar dalam mengantarkan putranya
hingga mampu mendirikan perusahaan besar Tesla dan SpaceX.

Lalu, ada juga kisah yang datang dari Menteri Pariwisata dan Ekonomi Kreatif,
Sandiaga Uno. Ia pernah bercerita kalau apa yang didapatkannya saat ini adalah
berkat sang ibu, Mien Uno, yang berperan sebagai guru dan teman diskusi yang
membuat hidupnya lebih berarti.

Kisah sukses berkat peranan ibu tidak hanya datang dari Elon Musk dan Sandiaga
Uno. Seorang pegiat UMKM lokal asal Bandung bernama Wendi Paisal juga punya
cerita tersendiri mengenai pengorbanan sang ibunda atas kesuksesan usaha
fesyen miliknya.

Kepada media, Wendi bercerita bahwa bisnisnya sempat terpuruk di tahun 2019.
Namun berkat peran serta sang ibu, ia berhasil bangkit dengan membuka toko
onlinenya sendiri di Shopee dengan nama indahfashion26.

Kini, usaha Wendi tak hanya mengalami peningkatan dalam hal omzet, namun juga
sudah sukses melakukan ekspor serta mampu memberdayakan hingga 42 orang yang
tinggal di sekitarnya.

Tak ketinggalan, Wendi turut menceritakan bagaimana sang ibunda, Imas
Mashitoh, selama ini berjuang mencukupi kebutuhan hidup keluarganya dengan
bekerja sebagai Tenaga Kerja Indonesia (TKI) di Arab Saudi.

Dulu saya tinggal di kampung terpencil, di Surade, Kabupaten Sukabumi.
Kondisi keluarga tergolong orang enggak punya. Pendapatan bapak sebagai petani
Alhamdulillah cukup untuk makan, tapi untuk beli-beli kebutuhan lain ya nggak
bisa. Ya dari situ ibu memutuskan untuk jadi TKI di Arab Saudi, kenangnya.

Sekembalinya sang ibu ke tanah air, Wendi malah sempat tidak mengenali wajah
perempuan yang melahirkannya tersebut setelah bertahun-tahun tidak berjumpa
satu sama lain.

Saya waktu itu jemput ibu di rumah saudara, tapi saya enggak tahu itu siapa.
Ibu datang, meluk saya sambil nangis lama, saya bingung tapi di saat yang
bersamaan juga sedih, ucap Wendi.

Meski begitu, keduanya makin dekat satu sama lain seiring dengan berjalannya
waktu. Wendi kerap kali menceritakan berbagai keluh kesahnya dengan sang ibu,
termasuk juga permasalahan yang ia hadapi dengan bisnisnya. Bisnis garmen
kecil-kecilan milik Wendi ini sempat terpuruk kala itu, hingga akhirnya ia
harus menjual semua alat produksi.

Memang saat itu semua sedang anjlok, bahkan bisnis saya yang sudah lama
anjlok sampai mesin ikut dijual. Waktu ibu tahu kondisi bisnis saya lagi
terpuruk, ibu langsung ambil pinjaman ke bank 10 juta. Ibu kasihin ke saya
katanya untuk modal usaha tambahan, kata Wendi.

Tidak hanya memberikan hasil jerih payahnya sebagai TKI untuk membantu modal
anaknya, Ibu Imas juga rela terjun langsung untuk mendukung kelancaran
produksi. Menurut Wendi, sang ibu terutama sangatlah membantu dalam proses
merajut _sweater_.

Saya enggak bisa apa-apa kalau nggak ada ibu. Ibu udah berumur tapi tetep
maksa untuk bantuin saya menjahit _sweater_. Alhamdulillah, saya bisa bangkit
lagi hingga di titik sekarang, tutup Wendi.

Bagi Wendi, Ibu Imas adalah seorang sosok pahlawan yang tak tergantikan.
Berkat dukungan moral dan material dari sang ibu serta kegigihannya untuk
terus menggali ilmu untuk berjualan _online_ lewat Kampus UMKM Shopee Ekspor
Bandung, bisnis Wendi perlahan bangkit sampai mampu meraih keuntungan hingga
puluhan juta Rupiah per bulan.

Dalam rangka mendukung perjuangan dan jerih payah para Ibu yang membangkitkan
semangat berwirausaha di Shopee, Shopee menghadirkan Festival Hari Ibu pada
momen Hari Ibu tahun ini!

Di Festival Hari Ibu, terdapat penawaran berupa _Extra Voucher_ 22RB dan
Favorit Ibu Diskon sebesar 60 persen yang berlangsung dari tanggal 19 hingga
22 Desember 2022.

Selain itu, pengguna juga bisa mendapatkan Promo Kilat 80 persen yang khusus
dihadirkan pada Puncak Perayaan Festival Hari Ibu pada hari ini, 22 Desember
2022.

Dengan berbagai promo menarik di Festival Hari Ibu dari Shopee, kamu pun bisa
memberikan sesuatu yang bermakna di Hari Ibu tahun ini. Jangan sampai lewatkan
kesempatan ini untuk mengapresiasi perjuangan Ibunda tercinta!

 "
2009,-,-,salatiga,-,jawa tengah,jawa tengah,"Sebanyak 722 peserta UMK Academy 2022 telah mengikuti berbagai rangkaian
aktivitas pembekalan sejak Agustus 2022.

Di mana, hingga akhirnya 511 usaha mikro dan kecil (UMK) berhasil lulus dan
dinyatakan naik kelas pada acara Graduation Day yang dilaksanakan secara
daring, Jumat (23/12/2022).

Peserta yang dinyatakan lulus tersebut terdiri dari empat kelas, yakni Go
Modern dan Go Digital masing-masing 141 UMK, Go Online 125 UMK dan Go Global
104 UMK.

Peserta telah memenuhi minimal dua kriteria yang telah dijadikan acuan
parameter di antaranya peningkatan omzet, peningkatan jumlah pegawai,
kapasitas produksi dan memasarkan produknya hingga ke luar negeri, serta
melibatkan masyarakat sekitar untuk menghasilkan produk.

""Melalui UMK Academy diharapkan bisa menjadi tempat belajar bagi para UMK
secara komprehensif sehingga dapat langsung di implementasikan kepada usaha
yang sedang di jalani, serta kapasitas dan skill enterpreneurship UMK semakin
meningkat dengan optimal agar siap mengakses pasar ekspor yang semakin terbuka
lebar, ujar PTH Direktur Utama PT Pertamina (Persero), Erry Widiastono dalam
keterangannya, Sabtu (24/12/2022).

VP CSR & SMEPP Pertamina, Fajriyah Usman menambahkan, UMK Academy merupakan
program Pembinaan UMK yang dilakukan secara terstruktur, berjenjang dan
terintegrasi sesuai dengan kebutuhan dan harapan para Mitra Binaan, serta
menyesuaikan dengan trend dan tantangan pasar sesuai komitmen perusahaan untuk
mendukung pengembangan UMK yang berkelanjutan sehingga dapat membantu
pengembangan UMK secara optimal.

Kami berharap seluruh UMK dapat menjadi lulusan terbaik di bidangnya masing-
masing, terus kreatif dan inovatif serta harus bisa memadukan kebutuhan antara
supply dengan demand, dan bagaimana kita bisa melihat potensi market, bahkan
kita harus bisa menjadi trend maker, tutur Fajriah.

Fajriyah menambahkan para pelaku UMK harus mengimbangi inovasi serta inisiatif
untuk memupuk keperdulian terhadap lingkungan.

""Salah satu wujud nyata yang dapat dilakukan oleh para pelaku UMK untuk
berperilaku ramah lingkungan yakni memperhatikan kemasan produk yang
digunakan, serta pengaruh yang ditimbulkan terhadap lingkungan,"" pungkasnya.

Salah satu UMK yang dinyatakan lulus dari program Pertamina UMK Academy 2022
adalah Sahono, pemilik usaha JeggBoy & Girl.

UMK asal kota Salatiga Jawa Tengah ini merupakan layanan ojek lokal yang
melayani kebutuhan konsumen, mulai dari belanja di pasar tradisional,
supermarket, makanan siap saji hingga jasa antar barang.

Saat ini JeggBoy & Girl sudah memiliki 250 driver dimana 40 persennya adalah
perempuan.

Terimakasih kepada Pertamina, kami berharap tahun depan pelatihannya tidak
hanya online tetapi juga kami bisa diberikan pelatihan secara offline, agar
bisa bertatap muka dengan para pelaku usaha lain dan juga bisa berkolaborasi
sehingga kami bisa tumbuh bersama, ucapnya.

 "
2010,-,-,-,jakarta selatan,-,dki jakarta,"Menteri Koperasi dan UKM (MenKopUKM) Teten Masduki ingin terus mendorong
Kredit Usaha Rakyat (KUR) Klaster agar bisa lebih banyak lagi UMKM menjadi
bagian dari industri.

Melaui KUR Klaster, kesempatan UMKM bermitra bersama usaha besar menjadi
tinggi dan dapat menjadi bagian dari rantai pasok industri.

Teten mengatakan sekarang UMKM yang terhubung ke rantai pasok industri baru 7
persen. Sedangkan yang baru terhubung ke global value chain sebesar 4,1
persen.

""Kalau kita bandingkan dengan negara tetangga, ini masih relatif kecil. Maka
dari itu, KUR Klaster ini terus kita dorong,"" katanya dalam acara Refleksi
2022 & Outlook 2023 di Gedung KemenKopUKM, Setiabudi, Jakarta Selatan, Senin
(26/12/2022).

Kini, Teten bersama Menko Perekonomian sedang ditugaskan oleh Presiden Jokowi
dalam hal memperluas kemitraan antara UMKM dan usaha besar melalui pemanfaatan
KUR Klaster.

Ia menyebut melalui KUR Klaster ini dapat terjadi kemitraan yang mutualisitk.

""Karena selain dapet akses pembiayaan bagi mitra-mitra mereka, para usaha
besar ini bisa dapet insentif pajak,"" ujar Teten.

KUR Klaster diklaim juga mampu memberi kesempatan UMKM naik kelas.

Melalui kemitraan bersama usaha besar, UMKM dapat memiliki kejelasan dalam hal
kepastian pasar. Serta, transfer teknologi, pengetahuan, dan manajemen.

""Melalui transfer tersebut, para UMKM dapat naik kelas, tumbuh berkambang, dan
meningkatkan kualitas produksi mereka,"" kata Teten.

Ia berujar target KUR Klaster pada 2022 masih relatif kecil. Dari nilai
alokasi penyaluran KUR dalam pemberdayaan pelaku UMKM sebesar Rp 373 triliun,
targetnya masih Rp 4,9 triliun.

Tahun ini, target tersebut sudah terealisasi Rp 4,8 triliun atau sekitar 96.7
persen penyerapannya.

Menurut Teten, angka itu akan terus ditingkatkan agar potensi UMKM
meningkatkan kapasitas usahanya atau naik kelas bisa lebih besar.

Dalam kesempatan sama, Teten menyebut nilai potensi kemitraan antara UMKM dan
usaha besar (swasta atau BUMN) masih relatif kecil.

""Tahun 2022, kita sudah kerja sama dengan 17 BUMN dan dua usaha besar. Nilai
potensi kemitraan mencapai Rp 224 miliar. Ini masih relatif kecil,"" ujar
mantan Kepala Staf Kepresidenan itu.

Kini, jumlah UMKM yang bermitra dengan usaha besar sebanyak 630 UKM/IKM.

Teten ingin KUR Klaster dapat melipatgandakan angka tersebut pada 2023.

""Kita akan terus fasilitasi pendampingan dan business matching guna mendorong
perluasan kemitraan dengan usaha besar, baik BUMN mapun swasta,"" katanya.

 "
2011,-,-,-,-,-,dki jakarta,"\- Presiden Joko Widodo mengatakan, penghentian ekspor sejumlah komoditas
bahan mineral dan bahan tambang (minerba) tak usah menanti industri di dalam
negeri siap.

Menurutnya, saat industri dalam negeri setengah siap pun, penghentian ekspor
bisa dilakukan.

""Begitu industrinya setengah siap. Enggak usah harus siap, setengah siap
langsung kita hentikan. Kita paksa untuk segera industrinya diselesaikan,""
ujar Jokowi di Istana Merdeka, Rabu (21/12/2022).

""Sehingga dari kasus perjalanan (penghentaian ekspor) nikel ini kita banyak
sekali belajar,"" kata Jokowi.

o

Jokowi pun menyebutkan, ke depannya pemerintah akan melanjutkan kebijakan
penghentian ekspor bahan minerba lainnya.

Namun, soal komoditas apa yang akan dihentikan ekspornya, hal masih harus
dihitung terlebih dulu.

Kepala Negara pun menekankan, kebijakan larangan ekspor sejumlah bahan minerba
tidak berarti Indonesia menjadi tertutup untuk industri.

Indonesia justru membuka kesempatan kepada berbagai negara bersama-sama
mengembangkan industrinya di Indonesia.

""Yang berkaitan dengan nikel berkaitan dengan bauksit tembaga timah kita
terbuka. Mau bekerja sama dengan BUMN silakan, bekerja sama dengan swasta
silakan, mendirikan sendiri silakan,"" kata Jokowi.

 "
2012,-,-,-,-,-,dki jakarta,"Menteri Koordinator Bidang Perekonomian Airlangga Hartarto mengatakan,
pelarangan ekspor bauksit mencakup semua bauksit mentah, termasuk yang yang
dicuci.

""Pelarangan seluruhnya bauksit mentah termasuk yang dicuci. Selama ini bauksit
bisa dicuci, kemudian diekspor. Sekarang yang terjadi pun tidak boleh. Harus
diproses di Indonesia dan itu mulai Juni 2023,"" ujar Airlangga di Istana
Merdeka, Rabu (21/12/2022).

Airlangga menuturkan, selain Indonesia masih ada sejumlah negara yang bisa
menyuplai bauksit. Sehingga, pelarangan ekspor yang diterapkan Indonesia tidak
akan mengganggu rantai pasok bauksit dunia.

Airlangga melanjutkan, saat ini sudah ada empat fasilitas pemurnian bauksit di
Indonesia. Adapun fasilitas pemurnian itu mampu menghasilkan alumina hingga
4,3 juta ton.

""Selain itu pemurnian bauksit dalam tahap pembangunan itu kapasitas inputnya
adalah 27,41 juta ton dan kapasitas produksinya 4,98 juta ton atau mendekati 5
juta ton,"" ungkap Airlangga.

Sementara itu, dia mengatakan, Indonesia masih memiliki cadangan bauksit yang
sangat besar, sehingga bisa bertahan sampai 90-100 tahun mendatang.

""Kemudian terkait dengan produknya tentu sesudah dari bauksit dia akan masuk
ke alumina. Dari alumina akan masuk ke aluminium, atau pemurnian aluminium,
dari situ akan turun ke turunannya dalam bentuk batangan atau dalam bentuk
_flat_ ,"" tambah Airlangga.

Diberitakan sebelumnya, Presiden Joko Widodo mengungkapkan, industrialisasi
bauksit di dalam negeri nantinya bisa meningkatkan pendapatan negara hingga Rp
41 triliun.

Saat ini, pendapatan negara dari ekspor bauksit tercatat sebesar Rp 21
triliun.

Adapun industrialisasi bauksit di dalam negeri ini menyusul keputusan
pemerintah menghentikan ekspor bauksit mulai Juni 2023.

Keputusan penghentian itu diumumkan Presiden Jokowi pada Rabu, 21 Desember.

""Mulai juni 2023 pemerintah akan memberlakukan pelarangan ekspor biji bauksit
dan mendorong industri pengolahan dan pemurnian bauksit di dalam negeri,"" kata
Jokowi.

""Pemerintah akan terus konsisten melakukan hilirisasi di dalam negeri agar
nilai tambah dinikmati di dalam negeri untuk kemajuan dan kesejahteraan
rakyat,"" tambahnya.

 "
2013,-,-,morowali,morowali,sulawesi tengah,sulawesi tengah,"Menteri Keuangan Sri Mulyani Indrawati mengkaji insentif untuk industri
pengolahan bauksit dalam negeri, usai Presiden Joko Widodo (Jokowi) melarang
ekspor bijih bauksit mulai Juni 2023.

Ia menilai, agar industri pengolahan bauksit berkembang seiring dengan
diterapkannya larangan ekspor, pemerintah pun mempertimbangkan pemberian
insentif.

""Nanti kita akan hitung dari sisi investasi produksinya dan apa saja yang
perlu untuk kita dukung melalui instrumen fiskal,"" ujarnya saat ditemui di
Kantor Kemenko Perekonomian, Jakarta, Rabu (21/12/2022).

Menurut Sri Mulyani, pemberian insentif mungkin akan sama seperti industri
pengolahan nikel sebelumnya, yang sudah lebih dulu dilakukan pelarangan ekspor
bijih nikel. Insentif yang diberikan bisa berupa _tax holiday_ dan _tax
allowance._

""Kalau dia termasuk industri prioritas nasional dan memang akan dikembangkan,
dia bisa masuk dalam kategori _tax holiday_ dan _tax allowance,_ itu sama
seperti yang diterapkan di Morowali (dibangun smelter nikel),"" katanya.

Sebelumnya, Menteri Koordinator Bidang Perekonomian Airlangga Hartarto
mengatakan, pemerintah ingin komoditas pertambangan Indonesia dikelola di
dalam negeri sehingga diekspor setelah memiliki nilai tambah. Maka, dilakukan
pelarangan ekspor bijih bauksit.

Menurut Airlangga, industri dalam negeri sudah siap untuk melakukan pengolahan
bijih bauksit. Ia bilang, saat ini setidaknya sudah ada 4 fasilitas pemurnian
atau smelter alumina dengan kapasitas mencapai 4,3 juta ton per tahunnya.

""Selain itu, pemurnian bauksit dalam tahap pembangunan itu kapasitas inputnya
adalah 27,41 juta ton dan kapasitas produksinya 4,98 juta ton atau mendekati 5
juta ton,"" kata dia dalam konferensi pers di Istana Negara, Jakarta, Rabu
(21/12/2022).

 "
2014,-,-,-,-,-,-," Presiden Joko Widodo (Jokowi) mengatakan, pemerintah terus berkomitmen dalam
mewujudkan kedaulatan sumber daya alam, dan meningkatakan nilai tambah di
dalam negeri.

Setelah berhasil dengan larangan ekspor bijih nikel pada Januari 2020, kini
Jokowi bakal menerapkan aturan terkait dengan larangan ekspor bijih bauksit.

Mulai Juni 2023 pemerintah akan memberlakukan pelarangan ekspor bijih bauksit
dan mendorong industri pengolahan dan pemurnian bauksit di dalam negeri, kata
Jokowi dalam Keterangan Pers secara _live_ di Istana Merdeka, Rabu
(21/12/2022).

Jokowi mengatakan, melalui industrialisasi bauksit di dalam negeri, Indonesia
diperkirakan akan memperoleh pendapatan yang meningkat dari Rp 21 triliun
menjadi kurang lebih Rp 62 triliun.

Adapun aturan ini diterbitkan, sebagai bentuk komitmen pemerintah untuk
pembukaan lapangan kerja sebanyak-banyaknya, peningkatan devisa, dan
pertumbuhan ekonomi yang lebih merata.

Oleh karena itu, pemerintah terus berusaha untuk meningkatkan industri
pengolahan sumber daya alam di dalam negeri, ekspor bahan mentah akan terus
dikurangi dan hilirisasi berbasis sumber daya alam akan ditingkatkan, lanjut
dia.

## Buah manis larangan ekspor bijih nikel pada 2020

Jokowi mengatakan, larangan ekspor bijih nikel yang diberlakukan pada 1
Januari 2020 berbuah manis.

Nilai ekspor yang semula hanya Rp 17 triliun atau 1,1 miliar dollar AS di
akhir tahun 2024, melonjak menjadi Rp 326 triliun atau 20,9 milair dollar AS
pada tahun 2021, atau meningkat 19 kali litpat.

Perkiraan saya, tahun ini akan tembus lebih dari Rp 468 triliun atau 30
miliar dollar AS, ungkapnya.

 "
