,new_kec,old_kec,new_kab,old_kab,new_prov,old_prov,berita
4333,sidorejo,-,magetan,-,jawa timur,-,"Bus wisata yang berangkat dari Semarang kecelakaan maut di jalur Sarangan,
Magetan, Jawa Timur, Minggu (4/12/2022).

Bus wisata tersebut terjun bebas ke jurang sedalam 30 meter di Magetan.

Tujuh orang tewas dalam insiden kecelakaan itu.

Berikut daftar korban selamat dalam kecelakaan bus wisata di Sarangan,
Magetan.

Sementara itu korban selamat berjumlah 22 penumpang dibawa ke Puskesmas
Plaosan.

Seorang perawat di Puskesmas Plaosan, Dewi, mengatakan, korban yang dibawa ke
Puskesmas Plaosan adalah yang mengalami luka ringan.

Jumlah semua tadi ada 22 pasien yang dirawat di sini, kebanyakan luka ringan
yang luka berat langsung dibawa ke RSUD Magetan, ujarnya saat ditemui di
Puskesmas Plaosan, Minggu (04/12/2022).

Selain di Puskesmas Plaosan ada korban luka-luka yang dilarikan ke Puskesmas
Sidorejo dan Klinik Muhammadiyah Kecamatan Sidorejo.

Seluruh korban di dua fasilitas kesehatan, diputuskan untuk dirujuk ke RSUD
Sayidiman Magetan.

  
Data Penumpang yang dirawat di Puskesmas Plaosan.

1\. Sukarni (51)

2\. Muhammad Ragil Maulan (8)

3\. Rizky (21)

4 Muhammad Romadhon (16)

5\. Sunarti (50)

6\. Dinda (10)

7\. Buyono Iswanto (48)

8.Mafuda (33)

9\. Rafa (5)

10 Supri Pujiwati (40)

11 Aulia (17)

12 Maynefa (10)

13 Wahyu mujiono (53)

14 Bambang (60)

15 Sri Rahayuni (47)

16 Pujilestari (32)

17 Muhammad Ibnu (10)

18 Damar Dirgantara

19 Sukini 49

20 Bejo

21 Fitri

22 Sermanto

Kasat lantas Polres Magetan AKP Trifona Situmorang mengatakan, kerusakan pada
rem diduga menjadi penyebab Bus meluncur tidak terkendali kemudian menabrak
besi pembatas jalan hingga masuk jurang sedalam 30 meter.

""Diduga remnya blong, tadi ada anggota pegang remnya panas. Untung korban
meninggal data antara ada 7 penumpang, "" katanya.

_Artikel ini telah tayang di TribunJatim.com dengan judul_ _Daftar Nama Korban
Selamat Kecelakaan Maut Bus Wisata di Sarangan_

 "
4334,salak,-,pakpak bharat,pakpak bharat,sumatera utara,sumatera utara,"\- Kecelakaan maut minibus rombongan pelayat masuk jurang dilaporkan terjadi
di Kabupaten Pakpak Bharat, Sumatera Utara.

Akibat kecelakaan ini, 5 orang penumpang dilaporkan tewas dan 12 lainnya
menderita luka-luka.

Dihimpun dari Tribun-Medan.com, kronologi kecelakaan bermula saat rombongan
berangkat melayat menuju Kecamatan Salak, Kabupaten Pakpak Bharat pada Senin
(28/11/2022) pagi.

Minibus kemudian hilang kendali ketika melintasi kawasan Jalan Lintas Dairi-
Pakpak Bharat, tepatnya di Kecamatan Kerajaan Kabupaten Pakpak Bharat sekira
pukul 10.30 WIB.

Minibus lalu terjun ke jurang yang berada di sisi jalan.

Berdasarkan keterangan sopir, dirinya tidak bisa mengendalikan laju
kendaraannya lantaran rem blong.

Kapolres Pakpak Bharat, AKBP Rocky H Marpaung membenarkan kecelakaan tunggal
ini.

Ia menguraikan, minibus nahas tersebut ditumpangi sebanyak 17 orang termasuk
sopir.

Dengan rincian 5 orang tewas dan 12 sisanya luka-luka.

Proses evakuasi berjalanan dramatis lantaran warga membantu para korban dengan
tali agar bisa keluar dari jurang.

""Rata-rata korban yang meninggal dunia sudah dewasa semua, usia rata-ratanya
40 sampai 50 tahun,"" tambah Rocky, dikutip dari Tribun-Medan.com.

Korban luka saat ini sudah mendapatkan perawatan medis di RSUD Salak.

Identitas korban meninggal

1\. Ira Simamora  
2\. Ramles Batubara  
3\. Lamsihar Nababan  
4\. Mindo Sigalingging  
5\. Lasbe Lubis

Identitas korban selamat alami luka luka

1\. Omma Sihombing  
2\. Tumpal Lubis  
3\. Mesra Sihombing  
4\. David Nababan  
5\. Mentibo Simamora  
6\. Reanta Bintang  
7\. Sehat Lubis  
8\. Nauli Nababan  
9\. Aslina Lubis  
10\. Marice Sinaga  
11\. Tigles Lubis  
12\. Parningotan Lubis

__

 "
4335,kalijati,kalijati,subang,subang,jawa barat,jawa barat,"Kecelakaan terjadi di Tol Cipali atau Cikopo-Palimanan Kilometer 91di wilayah
Kecamatan Kalijati, Kabupaten Subang pada Rabu (7/12/2022) sekitar 09.30 WIB.

Kendaraan pembawa bantuan gempa Cianjur Jawa Barat asal Indramayu mengalami
kecelakaan.

Kecelakaan di Tol Cipali ini mengakibatkan satu orang meninggal dunia dan satu
menderita luka berat.

Kanit PJR Tol Cipali, Ipda Raden Nugraha mengatakan, kecelakaan tersebut
terjadi ketika Bus PO Setia Negara dengan nomor polisi B 7896 TGC melaju di
jalur B atau dari Cirebon menuju Jakarta.

""Setiba di TKP KM 91, bus tersebut diduga kurang antisipasi dan menjaga jarak
aman sehingga menabrak kendaraan bak terbuka atau pikap yang membawa barang
bantuan gempa Cianjur yang dikemudikan oleh Suranta (40),"" ucapnya kepada
wartawan, Rabu (7/12/2022).

Lebih lanjut ia mengatakan bahwa, mobil bak terbuka langsung terguling setelah
ditabrak oleh bus tersebut. Sehingga, penumpang bernama Tasa (40) meninggal
dunia.

""Setelah mendapatkan hantaman keras dari bus dan terguling di TKP, mobil bak
terbuka dengan nomor polisi E 8546 QE yang membawa bantuan Cianjur ditabrak
kembali oleh minibus sehingga penumpang tak terselamatkan,"" ucapnya.

Raden mengatakan, korban telah dibawa ke Rumah Sakit Abdul Radjak untuk
penanganan medis lebih lanjut. Namun, penyebab pasti kecelakaan tersebut, ia
mengatakan bahwa pihaknya masih melakukan pemeriksaan.

Diketahui, mobil bantuan yang alami kecelakaan tersebut merupakan rombongan
dari Indramayu untuk memberikan bantuan ke korban gempa Cianjur.

Kamaludin (36), salah satu rombongan relawan yang berangkat mengatakan bahwa
pada hari ini, Rabu (7/12/2022), rombongan relawan dari Indramayu sebanyak 6
mobil berangkat menuju Cianjur untuk memberikan berbagai macam bantuan untuk
korban gempa Cianjur.

""Jadi kami rombongan 6 mobil dari Indramayu membawa berbagai macam bantuan,
ada makanan ringan, air minum dan tiker,"" ucapnya.

Akibat dari kecelakaan tersebut, Kamaludin mengatakan bahwa rombongannya
kembali ke Indramayu dan tidak jadi menuju Cianjur.

""Tadi kami memutuskan untuk kembali ke Indramayu dan fokus untuk kerabat kami
yang kini menjadi korban,"" ucapnya.

_Artikel ini telah tayang di TribunJabar.id dengan judul_ _Kecelakaan di Tol
Cipali, Mobil Bantuan Korban Gempa Cianjur Ditabrak Bus, Satu Orang Meninggal_

 "
4336,samarang,samarang,garut,garut,jawa barat,jawa barat,"Satu unit truk boks terjun ke jurang sedalam 100 meter di kawasan Kamojang,
Kecamatan Samarang, Kabupaten Garut, Jawa Barat, Senin (5/12/2022) petang.

Tiga orang penumpang dalam truk tersebut dinyatakan tewas.

Camat Samarang, Neneng Martiana mengatakan kejadian tersebut berlokasi di Desa
Sukalaksana, Kecamatan Samarang.

Pihaknya bersama anggota TNI-Polri dan BPBD hingga Senin malam telah melakukan
upaya evakuasi terhadap ketiga korban.

""Evakuasi dilakukan hingga malam hari, TNI dan Polri dibantu BPBD, saat
berhasil dievakuasi seluruh pengemudi sudah dalam keadaan meninggal dunia,""
ujarnya melalui siaran tertulis yang diterima Tribunjabar.id, Selasa
(6/12/2022) pagi.

Ia menuturkan, di kawasan tersebut diketahui jalanan licin sehingga perlu
kehati-hatian bagi para pengendara yang melewati kawasan Kamojang.

Korban menurutnya datang dari arah Bandung menuju Garut, dengan posisi turunan
tajam, mobil korban hilang kendali dan masuk jurang.

""Jika pengendara tidak hafal kawasan tersebut, maka akan cukup sulit
melewatinya,"" ucapnya.

Dari hasil pendataannya, truk boks tersebut bernomor polisi B 9845 KQB
bermuatan limbang oli.

Ketiga korban bernama Zaenal (66) warga Jakarta Timur, Unang Supriatna (28)
dan Khaerudin (46) warga Bekasi yang jadi pengemudi truk tersebut.

Kejadian tersebut sudah ditangani unit penanganan laka lantas Polres Garut.

Saat ini ketiga jenazah sudah berada di RSUD Dr Slamet Garut untuk dilakukan
proses lanjut.

_Artikel ini telah tayang di TribunJabar.id dengan judul_ _BREAKING NEWS
Kecelakaan Maut di Kamojang Garut, Truk Masuk Jurang 100 Meter, 2 Warga Bekasi
Tewas_

 "
4337,-,barat,bangka barat,magetan,bangka belitung,jawa timur,"Sebanyak 17 awak kapal roro MV Serasi I yang mengalami kecelakaan dengan KM
Batanghari Mas di perairan Bangka, saat ini masih berada di Muntok, Bangka
Barat, Kepulauan Bangka Belitung.

Mereka masih dimintai keterangan oleh Kesyahbandaran dan Otoritas Pelabuhan
(KSOP) Muntok dengan didampingi pihak perusahaan.

""Sementara masih di kantor KSOP Muntok sudah ditemani pihak dari perusahaan,""
kata Kepala KSOP Muntok Made Suartama saat dihubungi, Sabtu (3/12/2022).

Made memastikan, kondisi para awak dalam keadaan baik dan sehat.

""Nanti diserahkan ke keluarga melalui perusahaannya, setelah selesai dimintai
keterangan,"" ujar Made yang akrab disapa Madsu.

Dugaan sementara, tabrakan kapal terjadi karena _human error_ , yakni ada
miskomunikasi yang membuat kapal bertemu di jalur yang sama. Kondisi ini
dipengaruhi juga alur pelayaran Selat Bangka yang terbilang sempit.

Sementara saat kejadian, kondisi cuaca dilaporkan cukup baik.

""Iya masih ke miskomunikasi, tapi nanti kan masih diinvestigasi kapal satunya
lagi di Tanjung Priok,"" jelas Made.

Menurut Made, informasi awal hanya tubrukan saja dan di atas kapal kondisi
normal.

""(Penyebab pasti) nunggu investigasi dua kapal,"" ujar Made.

Kapal MV Serasi 1 bertabrakan dengan MV Batanghari Mas di Selat Bangka pada
Kamis (1/12/2022) dini hari.

MV Serasi 1 diketahui mengangkut 497 unit kendaraan yang terdiri dari
kendaraan golongan IV (445 unit), kendaraan golongan V (45 unit), kendaraan 5
ton (4 unit), kendaraan alat berat 10 ton (2 unit) dan kendaraan golongan II
(1 unit).

""Untuk evakuasi kapal dan monitoring sudah langsung diambil alih dari kantor
pusat karna wilayahnya cukup jauh dari Muntok, maka pemantauannya dilakukan
pelabuhan terdekat UPP Sungai Lumpur,"" ungkap Made.

Kepala Kantor SAR Pangkalpinang I Made Oka Astawa mengatakan, informasi adanya
kecelakaan laut pertama kali disampaikan manajemen MV Serasi 1 pada Kamis
(1/12/2022) pukul 02.20 WIB yang langsung direspons petugas dengan pengiriman
tim penyelamat.

Setelah kapal dikandaskan, seluruh awak turun menggunakan sekoci. Tak lama
kemudian para awak kapal dievakuasi KM Lotus yang kebetulan melintas di lokasi
kejadian.

""Tim gabungan menggunakan kapal cepat Basarnas menjemput awak kapal di KM
Lotus dan dibawa ke Muntok, Bangka Barat dalam kondisi selamat. Dari 17 awak,
ada lima yang luka-luka dan telah dibawa ke Puskesmas,"" ujar Oka.

Sedangkan kondisi MV Batanghari Mas belum bisa dipastikan. Kapal itu tetap
melanjutkan pelayarannya.

 "
4338,tambang,tambang,kampar,kampar,riau,riau,"Kecelakaan maut terjadi di jalan lintas Pekanbaru-Bangkinang, Desa Kualu
Nenas, Kecamatan Tambang, Kabupaten Kampar, Riau, Jumat (2/12/2022). Tiga
orang tewas dalam insiden itu.

Kepala Bidang (Kabid) Hubungan Masyarakat (Humas) Polda Riau Kombes Sunarto
mengatakan, kecelakaan lalulintas terjadi antara mobil pikap pengangkut ayam
dengan sebuah truk tronton.

""Kejadiannya sekitar pukul 05.00 WIB. Akibat kecelakaan lalulintas ini, tiga
orang yang ada di dalam mobil pikap meninggal dunia di tempat kejadian perkara
(TKP),"" kata Sunarto saat diwawancarai _Kompas.com_ , Jumat.

Ketiga orang korban tewas adalah Diamsyah, Muhammad Alim dan Yuhardi.

Dua korban merupakan warga Kecamatan Kuok dan satu lagi warga Kecamatan
Bangkinang Kota, Kabupaten Kampar.

Sunarto menjelaskan, mobil pikap yang dikemudikan Diamsyah, melaju dari arah
Pekanbaru menuju Bangkinang.

Sesampainya di KM 27 dekat gerbang tol Pekanbaru-Bangkinang, Desa Kualu Nenas,
mobil pikap menabrak truk tronton yang parkir sembarangan di bahu jalan.

""Jadi mobil pikap manabrak truk dari belakang,"" kata Sunarto.

Sunarto menegaskan, di lokasi kejadian ada rambu larangan berhenti di bahu
jalan. Namun, truk tersebut tetap parkir yang membahayakan kendaraan lainnya.

Polisi akan menyelidiki pengemudi truk yang memarkirkan kendaraan di bahu
jalan tersebut.

""Penyebab kecelakaan lalu lintas masih diselidiki. Sopir truk kabur dari TKP,""
pungkas Sunarto.

 "
4339,setia budi,-,jakarta selatan,jakarta selatan,dki jakarta,dki jakarta," \- Direktur Lalu Lintas Polda Metro Jaya Komisaris Besar Polisi Latif Usman
mengatakan kasus tewas tertabrak Pajero masih dalam penyelidikan. Keluarga
korban Muhammad Hasya Atallah Saputra juga akan melaporkan dugaan unsur
pembiaran.

""Masih ada pemeriksaan lagi, dari pihak yang meninggal mau melaporkan kembali
Pak Eko tentang adanya unsur pembiaran. Tapi masih kita cari saksi, cari
keterangan kembali, kita gali, unsurnya masuk atau tidak,"" ujar Latif di Polda
Metro Jaya, Kamis, 15 Desember 2022.

Dalam kasus itu. Hasya diduga Pajero yang dikemudikan seorang purnawirawan
Polri pangkat Ajun Komisaris Besar Polisi bernama Eko Setia Budi Wahono.

Latif mengatakan perihal niat melaporkan Eko atas unsur pembiaran tersebut
masih dalam diskusi. Sementara kesimpulan hasil gelar perkara sudah ada, namun
belum disampaikan karena menunggu soal niat melapor dari keluarga Hasya.

Latif memastikan kepolisian sangat terbuka jika pihak Universitas Indonesia
ikut mendampingi penyelesaian kasus ini. Gelar perkara kasus lalu lintas ini
dipastikan sudah digelar sebanyak dua kali pada 28 November 2022.

""Ini lagi kita diskusikan, dari Universitas Indonesia juga saya suruh
mendampingi silakan, kita sangat terbuka. Kita akan cari solusinya yang
terbaik,"" katanya.

Kasus dugaan kecelakaan yang menewaskan Hasya terjadi pada Kamis, 6 Oktober
2022 sekitar pukul 21.00 WIB di Jalan Srengseng Sawah, Jagakarsa, Jakarta
Selatan. Keluarga menduga Hasya menjadi korban tabrak lari.

Berdasarkan pemeriksaan polisi, insiden terjadi saat malam hari dengan kondisi
hujan. Jalanan juga diduga licin karena ada genangan air.

""Kalau keterangan sementara yang saya terima si motor ini oleng, ban belakang
selip, jatuh, baru berbenturan dengan mobil. Makanya kita masih dalami betul,""
tutur Latif Usman pada Senin, 28 November 2022.

Polisi belum menentukan seorang tersangka dalam kasus mahasiswa UI tewas
tertabrak itu. Latif mengatakan kejadian ini tidak ada unsur kesengajaan walau
akhirnya Hasya tewas.

 "
4340,kepulauan seribu utara,-,kepulauan seribu,kepulauan seribu,dki jakarta,dki jakarta," \- Kepala Kantor Pencarian dan Pertolongan (SAR) Jakarta Fazzli mengatakan
tak ada korban jiwa dalam peristiwa  di Pulau Payung, Kepulauan Seribu. Dia
berujar enam penumpang yang berada di atas Kapal KM Nurul Hidayah berhasil
dievakuasi.

""Seluruh korban sudah terevakuasi oleh Kapal KM Doa Ibu dan pada pukul 11.30
WIB telah tiba di Pulau Kelapa dalam keadaan aman,"" kata dia dalam keterangan
tertulisnya, Jumat, 23 Desember 2022.

Kapal KM Nurul Hidayah berangkat berlayar pagi ini pukul 06.00 WIB. Selang
hampir dua jam kemudian, persisnya pukul 08.45 WIB, kapal dilaporkan tenggelam
di sekitar Pulau Laki.

Menurut Fazzli, mesin kapal bermasalah akibat kelebihan muatan, sehingga mati
di tengah perjalanan. Kapapl ini mengangkut barang berupa 60 sak semen, 6
kubik selkon atau hebel, 1,5 kubik balok, 15 karung beras yang masing-masing
beratnya 50 kilogram, dan 50 dus air mineral gelas.

Dalam perjalanan di sekitar Pulau Laki pada pukul 08.45 WIB ternyata mesin
kapal mengalami yang menyebabkan mesin mati dan kapal terombang-ambing, jelas
dia.

Kru kapal tradisional itu lantas meminta pertolongan kepada Kapal KM Doa Ibu 2
yang jaraknya tak terpaut jauh. Kapal bantuan pun datang lalu menggandeng
kapal KM Nurul Hidayah untuk kembali ke Pulau Kelapa, Kepulauan Seribu Utara.

Dalam perjalanan evakuasi,  dan ombak menghadang perjalanan dua kapal ini,
sehingga tali gandengan sempat terputus. Beruntung tali gandengan dapat
menyatu kembali. Semua kru kapal dan penumpang pun, tutur Fazzli, dipindahkan
ke kapal penyelamat.

Tim SAR Jakarta kemudian menindaklanjuti insiden ini dengan cara:  
1\. Pos SAR  melakukan koordinasi dan pemantauan  
2\. Menghubungi keluarga para korban  
3\. Melakukan pengecekan dan olah TKP  
4\. Melengkapi administrasi lidik  
5\. Melakukan koordinasi dengan KSOP  
6\. Memintai keterangan korban dan saksi-saksi

 "
4341,setia budi,-,jakarta selatan,jakarta selatan,dki jakarta,dki jakarta," \- Polisi melakukan gelar perkara kasus mahasiswa UI Mohammad Hasya
Athallah Saputra (18 tahun) yang tewas tertabrak mobil Pajero seorang
pensiunan Polri. Direktur Lalu Lintas Polda Metro Jaya Komisaris Besar Polisi
Latif Usman menuturkan polisi akan mengundang ahli untuk melihat unsur pidana
sebelum penetapan tersangka.

Dia menuturkan polisi telah memeriksa saksi dan meninjau tempat kejadian
perkara (TKP) kecelakaan secara keseluruhan. ""Akan kita padukan, nanti
hasilnya bagaimana, kita nanti juga akan mengundang ahli untuk menentukan,
proses ini masih berlanjut,"" katanya di kantornya, Senin, 28 November 2022.

Dirlantas Polda Metro Jaya itu menjelaskan, gelar perkara pada hari ini
dilakukan juga untuk menentukan status perkara apakah naik dari penyelidikan
ke penyidikan atau tidak. Sementara ini dia melihat kasusnya masih belum
ditemukan siapa yang salah dalam penyebab kecelakaan.

""Karena dari segi TKP masih 50-50 karena kejadiannya dilihat dari hasil
pemeriksaan ini adalah pada saat kendaraan yang dikemudi oleh Pak Eko hujan,
licin, kecepatan tinggi. Kendaraan yang ditumpangi oleh Hasya jatuh, terus
menghantam kendaraan depannya,"" ujarnya.

Perwira menengah Polri itu memastikan kasus ini tetap diproses dan tidak
ditutupi. Lambannya penyelesaian kasus ini disebut karena sempat ada ruang
untuk mediasi kedua belah pihak, walaupun akhirnya gagal.

""Kami juga mohon maaf mungkin ada kesalahan dari kami, kami mohon maaf. Tapi
tentunya proses ini tidak ada kami tutup-tutupi dan ini akan kita proses
secara detail sekali. Makanya terlambatnya itu kita ngasih kesempatan mediasi,
tapi gak ada,"" tutur Latif.

Mahasiswa UI Hasya tewas tertabrak mobil Mitsubishi Pajero di Jalan Srengseng
Sawah, Jagakarsa, Jakarta Selatan, pada Kamis malam, 6 Oktober 2022. Terduga
penabrak adalah Eko Setia Budi Wahono yang merupakan pensiunan Polri pangkat
Ajun Komisaris Besar Polisi.

Latif menyebut Eko cukup kooperatif saat diperiksa dalam kasus mahasiswa UI
tewas tertabrak itu. ""Pak Eko juga kooperarif kok. Jadi dengan viral juga
untuk koreksi saya, mungkin pada saaat itu kami tidak sering menanyakan,""
katanya.

 "
4342,setia budi,-,jakarta selatan,jakarta selatan,dki jakarta,dki jakarta," \- Direktur Lalu Lintas Polda Metro Jaya Komisaris Besar Polisi Latif Usman
buka suara soal lamanya proses kasus mahasiswa UI tewas tertabrak Pajero yang
dikendarai pensiunan Polri. Latif mengatakan proses kasus kecelakaan itu
menunggu mediasi.

Mahasiswa Universitas Indonesia bernama Mohammad Hasya Athallah Saputra (18
tahun) tewas tertabrak mobil Mitsubishi Pajero di Jalan Srengseng Sawah,
Jagakarsa, Jakarta Selatan, pada Kamis malam, 6 Oktober 2022. Pada saat itu
Hasya mengendarai sepeda motor setelah pulang kuliah dari kampusnya.

""Pada saat kejadian ini mereka mau mediasi katanya, kami masih menunggu hasil
mediasi itu. Ternyata sampai dengan pelaksaannya, mediasi ini tidak tercapai,""
kata Dirlantas Polda Metro Jaya itu di Jakarta, Senin, 28 November 2022.

Latif menegaskan kasus ini tetap diproses dan tidak akan ditutupi. Hari ini
juga masih dilakukan gelar perkara untuk menentukan penyebab dan proses
terjadinya kecelakaan tersebut.

""Kami juga mohon maaf mungkin ada kesalahan dari kami, kami mohon maaf. Tapi
tentunya proses ini tidak ada kami tutup-tutupi dan ini akan kita proses
secara detail sekali. Makanya terlambatnya itu kita ngasih kesempatan mediasi,
tapi gak ada,"" ujar Latif.

Menurut keterangan yang diterimanya, kondisi tempat kejadian perkara (TKP)
saat itu sedang hujan dan licin. Saat ini juga belum ditentukan siapa yang
salah dan menjadi tersangka.

""Kalau keterangan sementara yang saya terima si motor ini oleng, ban belakang
selip, jatuh, baru berbenturan dengan mobil. Makanya kita masih dalami betul,""
tuturnya.

Hingga hari ini, kata Latif, polisi masih mencari CCTV yang merekam kejadian
pengendara motor tewas tertabrak tersebut. Kemudian akan dilihat secara detail
bekas kecelakaan seperti tanda rem di jalanan.

Terduga penabrak adalah Eko Setia Budi Wahono, seorang pensiunan Polri pangkat
Ajun Komisaris Besar Polisi. Latif menyebut Eko cukup kooperatif saat
diperiksa.

""Pak Eko juga kooperarif kok. Jadi dengan viral juga untuk koreksi saya,
mungkin pada saaat itu kami tidak sering menanyakan,"" katanya.

Dalam kasus ini, polisi belum menentukan seorang tersangka dalam kasus
mahasiswa UI tewas tertabrak itu. Latif mengatakan kejadian ini tidak ada
unsur kesengajaan walau akhirnya Hasya meregang nyawa. Sebelumnya diduga Hasya
menjadi korban tabrak lari.

 "
