EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:01:56	0	0.1000	0.7891401534505449	0.2612849771976471	0.9232	0.9232	0.9232	0.9232
2	17:09:04	0	0.1000	0.3605470618850684	0.2169020026922226	0.9325	0.9325	0.9325	0.9325
3	17:15:16	1	0.1000	0.3146790542582215	0.24424324929714203	0.9183	0.9183	0.9183	0.9183
4	17:20:54	2	0.1000	0.2888574535926198	0.21068830788135529	0.931	0.931	0.931	0.931
5	17:25:40	0	0.1000	0.27160018370905403	0.2045883983373642	0.9333	0.9333	0.9333	0.9333
6	17:31:07	1	0.1000	0.25523795729003373	0.20364481210708618	0.9322	0.9322	0.9322	0.9322
7	17:36:24	0	0.1000	0.24450600516348842	0.18855087459087372	0.9393	0.9393	0.9393	0.9393
8	17:42:57	0	0.1000	0.235825858793577	0.18506895005702972	0.9415	0.9415	0.9415	0.9415
9	17:49:48	0	0.1000	0.2235627854735863	0.18180228769779205	0.9416	0.9416	0.9416	0.9416
10	17:56:35	1	0.1000	0.21750173531400163	0.20545212924480438	0.9348	0.9348	0.9348	0.9348
